NOM_ENT,NOM_MUN,INGRESO_HOGAR_TRI,GASTO_MUN_TRI,POBR_CAR_PROM,VUL_CAR_PROM,VUL_ING_POR,CAR_SALUD_PROM,CAR_SEG_SOC_PROM
Guanajuato,Abasolo,261716.1699,19421.46295,2.009179973,1.85255585,3.551512707,2.584017684,2.028938468
Guanajuato,Acámbaro,253034.2985,18777.19766,1.965576576,1.756893926,5.377117309,2.43328417,1.971817778
Guanajuato,San Miguel de Allende,230497.5784,17104.7902,1.811700487,1.668273202,3.51582445,2.322156497,1.788712014
Guanajuato,Apaseo el Alto,271662.9433,20159.59422,1.810770295,1.739314268,5.798679867,2.478838137,1.853505156
Guanajuato,Apaseo el Grande,236494.1355,17549.78339,1.961985059,1.761119906,11.16913429,2.547950652,2.119332657
Guanajuato,Atarjea,183552.8378,13621.10961,2.239560555,1.860143892,0.964543269,3.15483871,2.164399354
Guanajuato,Celaya,391200.346,29030.23923,1.966386807,1.71253587,10.40195657,2.430148245,2.05191555
Guanajuato,Manuel Doblado,180139.489,13367.81145,2.059992291,1.865743795,3.213858126,2.562213614,2.045123078
Guanajuato,Comonfort,256866.7769,19061.59864,2.065608774,1.780960903,4.847536499,2.556346381,2.051357196
Guanajuato,Coroneo,191514.7402,14211.94736,1.903022866,1.778013813,1.518917459,2.520838241,1.859733521
Guanajuato,Cortazar,299074.1281,22193.72651,1.901895732,1.821133376,13.27347213,2.396010701,2.046794597
Guanajuato,Cuerámaro,236707.9166,17565.64768,1.94148789,1.787856229,2.522379941,2.425289586,1.937961366
Guanajuato,Doctor Mora,288811.292,21432.14081,1.818377002,1.693696043,2.463407293,2.418496608,1.801216068
Guanajuato,Dolores Hidalgo Cuna de la Independencia Nacional,276020.2779,20482.9438,2.302543366,2.017846255,3.321446077,2.607696173,2.253720142
Guanajuato,Guanajuato,477095.2148,35404.33531,1.89234352,1.646871801,9.468393152,2.368849041,1.922115386
Guanajuato,Huanímaro,225405.9888,16726.95295,1.822834614,1.625322739,1.705605861,2.313917669,1.766721092
Guanajuato,Irapuato,330966.2308,24560.37924,1.966501255,1.66060626,10.04959409,2.453015377,2.078057536
Guanajuato,Jaral del Progreso,258245.1274,19163.88344,1.775773627,1.574852055,8.790110895,2.351844878,1.79494611
Guanajuato,Jerécuaro,148767.582,11039.76144,1.829178536,1.607133373,2.049760222,2.443934473,1.774316921
Guanajuato,León,335003.6783,24859.99061,2.057606347,1.75233915,11.42889398,2.683994418,2.27399157
Guanajuato,Moroleón,320795.743,23805.64654,1.63276889,1.480803949,3.243903298,2.441058674,1.575390004
