NOM_ENT,NOM_MUN,NOM_LOC,POBTOT,P18A24A
Guanajuato,Abasolo,Total del Municipio,92040.0,2701
Guanajuato,Acámbaro,Total del Municipio,108697.0,3084
Guanajuato,San Miguel de Allende,Total del Municipio,174615.0,4513
Guanajuato,Apaseo el Alto,Total del Municipio,63392.0,1931
Guanajuato,Apaseo el Grande,Total del Municipio,117883.0,3126
Guanajuato,Atarjea,Total del Municipio,5296.0,109
Guanajuato,Celaya,Total del Municipio,521169.0,22861
Guanajuato,Manuel Doblado,Total del Municipio,41240.0,833
Guanajuato,Comonfort,Total del Municipio,82216.0,2368
Guanajuato,Coroneo,Total del Municipio,11083.0,238
Guanajuato,Cortazar,Total del Municipio,97928.0,3284
Guanajuato,Cuerámaro,Total del Municipio,30857.0,819
Guanajuato,Doctor Mora,Total del Municipio,27390.0,887
Guanajuato,Dolores Hidalgo Cuna de la Independencia Nacional,Total del Municipio,163038.0,5046
Guanajuato,Guanajuato,Total del Municipio,194500.0,10405
Guanajuato,Huanímaro,Total del Municipio,21128.0,534
Guanajuato,Irapuato,Total del Municipio,592953.0,22005
Guanajuato,Jaral del Progreso,Total del Municipio,38782.0,1123
Guanajuato,Jerécuaro,Total del Municipio,49517.0,826
Guanajuato,León,Total del Municipio,1721215.0,64655
Guanajuato,Moroleón,Total del Municipio,47261.0,1700
Guanajuato,Ocampo,Total del Municipio,26383.0,430
Guanajuato,Pénjamo,Total del Municipio,154960.0,4019
Guanajuato,Pueblo Nuevo,Total del Municipio,12403.0,238
Guanajuato,Purísima del Rincón,Total del Municipio,83842.0,2137
Guanajuato,Romita,Total del Municipio,65766.0,1669
Guanajuato,Salamanca,Total del Municipio,273417.0,10348
Guanajuato,Salvatierra,Total del Municipio,94126.0,3031
Guanajuato,San Diego de la Unión,Total del Municipio,41054.0,800
Guanajuato,San Felipe,Total del Municipio,119793.0,2512
Guanajuato,San Francisco del Rincón,Total del Municipio,130871.0,3710
Guanajuato,San José Iturbide,Total del Municipio,89558.0,3212
Guanajuato,San Luis de la Paz,Total del Municipio,128536.0,4022
Guanajuato,Santa Catarina,Total del Municipio,5723.0,150
Guanajuato,Santa Cruz de Juventino Rosas,Total del Municipio,82340.0,2570
Guanajuato,Santiago Maravatío,Total del Municipio,6714.0,196
Guanajuato,Silao de la Victoria,Total del Municipio,203556.0,5834
Guanajuato,Tarandacuao,Total del Municipio,11304.0,297
Guanajuato,Tarimoro,Total del Municipio,35905.0,937
Guanajuato,Tierra Blanca,Total del Municipio,20007.0,540
Guanajuato,Uriangato,Total del Municipio,61494.0,2373
Guanajuato,Valle de Santiago,Total del Municipio,150054.0,3822
Guanajuato,Victoria,Total del Municipio,21253.0,718
Guanajuato,Villagrán,Total del Municipio,65791.0,2363
Guanajuato,Xichú,Total del Municipio,11143.0,191
Guanajuato,Yuriria,Total del Municipio,68741.0,1663
Guerrero,Acapulco de Juárez,Total del Municipio,779566.0,32282
Guerrero,Ahuacuotzingo,Total del Municipio,25205.0,307
Guerrero,Ajuchitlán del Progreso,Total del Municipio,37655.0,943
Guerrero,Alcozauca de Guerrero,Total del Municipio,21225.0,193
Guerrero,Alpoyeca,Total del Municipio,7813.0,221
Guerrero,Apaxtla,Total del Municipio,11112.0,277
Guerrero,Arcelia,Total del Municipio,33267.0,811
Guerrero,Atenango del Río,Total del Municipio,9147.0,102
Guerrero,Atlamajalcingo del Monte,Total del Municipio,5811.0,88
Guerrero,Atlixtac,Total del Municipio,28491.0,392
Guerrero,Atoyac de Álvarez,Total del Municipio,60680.0,1482
Guerrero,Ayutla de los Libres,Total del Municipio,69123.0,1429
Guerrero,Azoyú,Total del Municipio,15099.0,320
Guerrero,Benito Juárez,Total del Municipio,15442.0,423
Guerrero,Buenavista de Cuéllar,Total del Municipio,12982.0,340
Guerrero,Coahuayutla de José María Izazaga,Total del Municipio,12408.0,120
Guerrero,Cocula,Total del Municipio,15579.0,358
Guerrero,Copala,Total del Municipio,14463.0,293
Guerrero,Copalillo,Total del Municipio,15598.0,164
Guerrero,Copanatoyac,Total del Municipio,21648.0,320
Guerrero,Coyuca de Benítez,Total del Municipio,73056.0,1675
Guerrero,Coyuca de Catalán,Total del Municipio,38554.0,772
Guerrero,Cuajinicuilapa,Total del Municipio,26627.0,580
Guerrero,Cualác,Total del Municipio,7874.0,106
Guerrero,Cuautepec,Total del Municipio,17024.0,249
Guerrero,Cuetzala del Progreso,Total del Municipio,8272.0,125
Guerrero,Cutzamala de Pinzón,Total del Municipio,20537.0,259
Guerrero,Chilapa de Álvarez,Total del Municipio,123722.0,2311
Guerrero,Chilpancingo de los Bravo,Total del Municipio,283354.0,16179
Guerrero,Florencio Villarreal,Total del Municipio,22250.0,541
Guerrero,General Canuto A. Neri,Total del Municipio,6278.0,65
Guerrero,General Heliodoro Castillo,Total del Municipio,37254.0,454
Guerrero,Huamuxtitlán,Total del Municipio,17488.0,423
Guerrero,Huitzuco de los Figueroa,Total del Municipio,36593.0,806
Guerrero,Iguala de la Independencia,Total del Municipio,154173.0,7022
Guerrero,Igualapa,Total del Municipio,11739.0,306
Guerrero,Ixcateopan de Cuauhtémoc,Total del Municipio,6138.0,193
Guerrero,Zihuatanejo de Azueta,Total del Municipio,126001.0,3993
Guerrero,Juan R. Escudero,Total del Municipio,26093.0,757
Guerrero,Leonardo Bravo,Total del Municipio,26357.0,474
Guerrero,Malinaltepec,Total del Municipio,29625.0,928
Guerrero,Mártir de Cuilapan,Total del Municipio,18613.0,338
Guerrero,Metlatónoc,Total del Municipio,18859.0,249
Guerrero,Mochitlán,Total del Municipio,12402.0,410
Guerrero,Olinalá,Total del Municipio,28446.0,464
Guerrero,Ometepec,Total del Municipio,68207.0,2649
Guerrero,Pedro Ascencio Alquisiras,Total del Municipio,7076.0,78
Guerrero,Petatlán,Total del Municipio,44583.0,1613
Guerrero,Pilcaya,Total del Municipio,12753.0,288
Guerrero,Pungarabato,Total del Municipio,38482.0,1403
Guerrero,Quechultenango,Total del Municipio,36143.0,663
Guerrero,San Luis Acatlán,Total del Municipio,46270.0,1037
Guerrero,San Marcos,Total del Municipio,50124.0,1111
Guerrero,San Miguel Totolapan,Total del Municipio,24139.0,276
Guerrero,Taxco de Alarcón,Total del Municipio,105586.0,4047
Guerrero,Tecoanapa,Total del Municipio,46063.0,894
Guerrero,Técpan de Galeana,Total del Municipio,65237.0,1399
Guerrero,Teloloapan,Total del Municipio,53817.0,1425
Guerrero,Tepecoacuilco de Trujano,Total del Municipio,30806.0,775
Guerrero,Tetipac,Total del Municipio,13552.0,238
Guerrero,Tixtla de Guerrero,Total del Municipio,43171.0,1931
Guerrero,Tlacoachistlahuaca,Total del Municipio,22781.0,443
Guerrero,Tlacoapa,Total del Municipio,10092.0,185
Guerrero,Tlalchapa,Total del Municipio,11681.0,218
Guerrero,Tlalixtaquilla de Maldonado,Total del Municipio,7602.0,100
Guerrero,Tlapa de Comonfort,Total del Municipio,96125.0,3333
Guerrero,Tlapehuala,Total del Municipio,22209.0,701
Guerrero,La Unión de Isidoro Montes de Oca,Total del Municipio,26349.0,525
Guerrero,Xalpatláhuac,Total del Municipio,11966.0,131
Guerrero,Xochihuehuetlán,Total del Municipio,7862.0,119
Guerrero,Xochistlahuaca,Total del Municipio,29891.0,413
Guerrero,Zapotitlán Tablas,Total del Municipio,12004.0,142
Guerrero,Zirándaro,Total del Municipio,18031.0,191
Guerrero,Zitlala,Total del Municipio,21977.0,329
Guerrero,Eduardo Neri,Total del Municipio,53126.0,1577
Guerrero,Acatepec,Total del Municipio,40197.0,774
Guerrero,Marquelia,Total del Municipio,14280.0,433
Guerrero,Cochoapa el Grande,Total del Municipio,21241.0,220
Guerrero,José Joaquín de Herrera,Total del Municipio,18381.0,203
Guerrero,Juchitán,Total del Municipio,7559.0,174
Guerrero,Iliatenco,Total del Municipio,11679.0,461
Hidalgo,Acatlán,Total del Municipio,22268.0,514
Hidalgo,Acaxochitlán,Total del Municipio,46065.0,809
Hidalgo,Actopan,Total del Municipio,61002.0,2730
Hidalgo,Agua Blanca de Iturbide,Total del Municipio,10313.0,278
Hidalgo,Ajacuba,Total del Municipio,18872.0,606
Hidalgo,Alfajayucan,Total del Municipio,19162.0,537
Hidalgo,Almoloya,Total del Municipio,12546.0,359
Hidalgo,Apan,Total del Municipio,46681.0,1862
Hidalgo,El Arenal,Total del Municipio,19836.0,741
Hidalgo,Atitalaquia,Total del Municipio,31525.0,1412
Hidalgo,Atlapexco,Total del Municipio,19812.0,616
Hidalgo,Atotonilco el Grande,Total del Municipio,30135.0,906
Hidalgo,Atotonilco de Tula,Total del Municipio,62470.0,2120
Hidalgo,Calnali,Total del Municipio,16150.0,435
Hidalgo,Cardonal,Total del Municipio,19431.0,751
Hidalgo,Cuautepec de Hinojosa,Total del Municipio,60421.0,1638
Hidalgo,Chapantongo,Total del Municipio,12967.0,313
Hidalgo,Chapulhuacán,Total del Municipio,22903.0,457
Hidalgo,Chilcuautla,Total del Municipio,18909.0,810
Hidalgo,Eloxochitlán,Total del Municipio,2593.0,43
Hidalgo,Emiliano Zapata,Total del Municipio,15175.0,602
Hidalgo,Epazoyucan,Total del Municipio,16285.0,585
Hidalgo,Francisco I. Madero,Total del Municipio,36248.0,2013
Hidalgo,Huasca de Ocampo,Total del Municipio,17607.0,420
Hidalgo,Huautla,Total del Municipio,20673.0,527
Hidalgo,Huazalingo,Total del Municipio,12766.0,340
Hidalgo,Huehuetla,Total del Municipio,22846.0,528
Hidalgo,Huejutla de Reyes,Total del Municipio,126781.0,4421
Hidalgo,Huichapan,Total del Municipio,47425.0,1708
Hidalgo,Ixmiquilpan,Total del Municipio,98654.0,3950
Hidalgo,Jacala de Ledezma,Total del Municipio,12290.0,291
Hidalgo,Jaltocán,Total del Municipio,10523.0,350
Hidalgo,Juárez Hidalgo,Total del Municipio,2895.0,46
Hidalgo,Lolotla,Total del Municipio,9474.0,253
Hidalgo,Metepec,Total del Municipio,13078.0,363
Hidalgo,San Agustín Metzquititlán,Total del Municipio,9449.0,292
Hidalgo,Metztitlán,Total del Municipio,20962.0,555
Hidalgo,Mineral del Chico,Total del Municipio,8878.0,301
Hidalgo,Mineral del Monte,Total del Municipio,14324.0,588
Hidalgo,La Misión,Total del Municipio,9819.0,117
Hidalgo,Mixquiahuala de Juárez,Total del Municipio,47222.0,2116
Hidalgo,Molango de Escamilla,Total del Municipio,11578.0,386
Hidalgo,Nicolás Flores,Total del Municipio,6265.0,164
Hidalgo,Nopala de Villagrán,Total del Municipio,16948.0,486
Hidalgo,Omitlán de Juárez,Total del Municipio,9295.0,277
Hidalgo,San Felipe Orizatlán,Total del Municipio,38492.0,806
Hidalgo,Pacula,Total del Municipio,4748.0,67
Hidalgo,Pachuca de Soto,Total del Municipio,314331.0,18414
Hidalgo,Pisaflores,Total del Municipio,18723.0,160
Hidalgo,Progreso de Obregón,Total del Municipio,23641.0,1139
Hidalgo,Mineral de la Reforma,Total del Municipio,202749.0,12396
Hidalgo,San Agustín Tlaxiaca,Total del Municipio,38891.0,1728
Hidalgo,San Bartolo Tutotepec,Total del Municipio,17699.0,397
Hidalgo,San Salvador,Total del Municipio,36796.0,1621
Hidalgo,Santiago de Anaya,Total del Municipio,18329.0,648
Hidalgo,Santiago Tulantepec de Lugo Guerrero,Total del Municipio,39561.0,1574
Hidalgo,Singuilucan,Total del Municipio,15142.0,429
Hidalgo,Tasquillo,Total del Municipio,17441.0,594
Hidalgo,Tecozautla,Total del Municipio,38010.0,915
Hidalgo,Tenango de Doria,Total del Municipio,17503.0,482
Hidalgo,Tepeapulco,Total del Municipio,56245.0,2577
Hidalgo,Tepehuacán de Guerrero,Total del Municipio,31235.0,456
Hidalgo,Tepeji del Río de Ocampo,Total del Municipio,90546.0,2979
Hidalgo,Tepetitlán,Total del Municipio,10830.0,341
Hidalgo,Tetepango,Total del Municipio,11768.0,441
Hidalgo,Villa de Tezontepec,Total del Municipio,13032.0,428
Hidalgo,Tezontepec de Aldama,Total del Municipio,55134.0,2057
Hidalgo,Tianguistengo,Total del Municipio,14340.0,343
Hidalgo,Tizayuca,Total del Municipio,168302.0,6738
Hidalgo,Tlahuelilpan,Total del Municipio,19067.0,692
Hidalgo,Tlahuiltepa,Total del Municipio,9086.0,114
Hidalgo,Tlanalapa,Total del Municipio,11113.0,502
Hidalgo,Tlanchinol,Total del Municipio,37722.0,868
Hidalgo,Tlaxcoapan,Total del Municipio,28626.0,1223
Hidalgo,Tolcayuca,Total del Municipio,21362.0,784
Hidalgo,Tula de Allende,Total del Municipio,115107.0,4688
Hidalgo,Tulancingo de Bravo,Total del Municipio,168369.0,7035
Hidalgo,Xochiatipan,Total del Municipio,18260.0,302
Hidalgo,Xochicoatlán,Total del Municipio,7015.0,211
Hidalgo,Yahualica,Total del Municipio,24674.0,504
Hidalgo,Zacualtipán de Ángeles,Total del Municipio,38155.0,1500
Hidalgo,Zapotlán de Juárez,Total del Municipio,21443.0,847
Hidalgo,Zempoala,Total del Municipio,57906.0,2755
Hidalgo,Zimapán,Total del Municipio,39927.0,1548
