NOM_ENT,NOM_MUN,POBR_CAR_PROM,VUL_CAR_PROM,VUL_ING_POR,CAR_SALUD_PROM,CAR_SEG_SOC_PROM
Aguascalientes,Aguascalientes,1.7831169668,1.5840867901,9.9786625324,2.2970483279,1.8780160657
Aguascalientes,Asientos,1.9178116878,1.6959376909,6.6190835444,2.6465038509,1.9489284058
Aguascalientes,Calvillo,1.8588923648,1.6259272309,3.7603158327,2.5111797362,1.8107633172
Aguascalientes,Cosío,1.8019980186,1.6389019914,9.9296487621,2.6258059325,1.9443049472
Aguascalientes,Jesús María,2.0239337363,1.6226115722,7.7033078899,2.5178721773,2.0297539465
Aguascalientes,Pabellón de Arteaga,1.8902043558,1.6876338531,10.2513431538,2.4240985908,1.9716863889
Aguascalientes,Rincón de Romos,1.981801835,1.7134800716,8.2406531166,2.5967085537,1.996623367
Aguascalientes,San José de Gracia,1.4901229871,1.3446152495,5.3939610081,2.3328467153,1.4470682731
Aguascalientes,Tepezalá,1.816386293,1.6775517815,7.2127481985,2.5878824546,1.8583467756
Aguascalientes,El Llano,1.9805148892,1.7098751868,5.396331355,2.5884352129,2.0264881666
Aguascalientes,San Francisco de los Romo,1.983410274,1.7304901523,13.9297875706,2.5540610236,2.1628825825
Baja California,Ensenada,1.9968648204,1.647945226,5.4612892374,2.4434137251,1.9102494389
Baja California,Mexicali,1.7677408548,1.5703798694,6.5781777524,2.3032315206,1.7835305404
Baja California,Tecate,1.8083319424,1.5775660826,5.3433396569,2.2930239861,1.7821795204
Baja California,Tijuana,1.9388214969,1.6886277528,6.7880915614,2.3756064444,1.9880580313
Baja California,Playas de Rosarito,1.8790357382,1.6598588517,5.8444869603,2.319210882,1.8383981176
Baja California,San Quintín,2.2869939432,1.9539735078,3.0604799541,2.6806139577,2.3290729896
Baja California Sur,Comondú,1.9308402673,1.5840544601,7.6768056256,2.5734877734,1.9252504224
Baja California Sur,Mulegé,2.2428484398,1.7950125785,5.9842629797,2.6948243057,2.2397236617
Baja California Sur,La Paz,1.8871809517,1.5361277653,7.1575500953,2.4693246404,1.9100262154
Baja California Sur,Los Cabos,2.25154475,1.7643433377,6.8379442324,2.742483555,2.32000523
Baja California Sur,Loreto,1.7835584943,1.480247212,8.6480469339,2.281838321,1.8567521394
Campeche,Calkiní,2.598290354,1.9331653977,5.8011061278,3.1100464624,2.6216543129
Campeche,Campeche,2.12853552,1.6685465048,11.007662877,2.5221384927,2.1487543768
Campeche,Carmen,2.6275699919,1.8837396152,4.6590758656,2.9620712193,2.5838259047
Campeche,Champotón,2.4535767604,1.9823863713,5.3840625689,3.0278436334,2.4796998855
Campeche,Hecelchakán,2.3722580132,1.833482945,6.3575686863,2.9814939474,2.4668848837
Campeche,Hopelchén,2.55298761,2.2594885031,1.8062858506,3.1382080695,2.5956940595
Campeche,Palizada,2.4226499688,1.8582619258,2.7524119633,3.4323995128,2.2784302066
Campeche,Tenabo,2.5176548515,1.9584822545,4.3204254253,3.0957130534,2.5535877689
Campeche,Escárcega,2.4591831371,1.9481242366,4.313769852,3.1141003387,2.4361256126
Campeche,Calakmul,2.6756985811,2.2201027966,0.9065080866,3.2836022012,2.6893854189
Campeche,Candelaria,2.7960171555,2.2723427576,1.2095603102,3.3125140743,2.7684372468
Campeche,Seybaplaya,n.d.,n.d.,n.d.,n.d.,n.d.
Coahuila de Zaragoza,Abasolo,2.0032420363,1.6789113841,1.609264854,2.1310679612,1.8110599078
