ENTIDAD,NOM_ENT,MUN,NOM_MUN,LOC,NOM_LOC,P18A24A
12,Guerrero,000,Total de la entidad Guerrero,0000,Total de la Entidad,111043
12,Guerrero,000,Total de la entidad Guerrero,9998,Localidades de una vivienda,46
12,Guerrero,000,Total de la entidad Guerrero,9999,Localidades de dos viviendas,216
12,Guerrero,001,Acapulco de Juárez,0000,Total del Municipio,32282
12,Guerrero,001,Acapulco de Juárez,0001,Acapulco de Juárez,29476
12,Guerrero,001,Acapulco de Juárez,0077,Agua del Perro,7
12,Guerrero,001,Acapulco de Juárez,0078,Aguas Calientes,36
12,Guerrero,001,Acapulco de Juárez,0079,Alto del Camarón,19
12,Guerrero,001,Acapulco de Juárez,0080,Amatepec,7
12,Guerrero,001,Acapulco de Juárez,0081,Amatillo,35
12,Guerrero,001,Acapulco de Juárez,0082,Apalani,18
12,Guerrero,001,Acapulco de Juárez,0083,Apanhuac (Apanguaque),2
12,Guerrero,001,Acapulco de Juárez,0085,Barra Vieja,16
12,Guerrero,001,Acapulco de Juárez,0086,Barrio Nuevo de los Muertos,6
12,Guerrero,001,Acapulco de Juárez,0087,El Bejuco,75
12,Guerrero,001,Acapulco de Juárez,0088,Cacahuatepec,12
12,Guerrero,001,Acapulco de Juárez,0089,La Calera,3
12,Guerrero,001,Acapulco de Juárez,0090,Campanario,16
12,Guerrero,001,Acapulco de Juárez,0091,El Cantón,8
12,Guerrero,001,Acapulco de Juárez,0092,Carabalí,7
12,Guerrero,001,Acapulco de Juárez,0093,El Carrizo,4
12,Guerrero,001,Acapulco de Juárez,0095,Cerro de Piedra,22
12,Guerrero,001,Acapulco de Juárez,0097,Colonia Guerrero (Los Guajes),13
12,Guerrero,001,Acapulco de Juárez,0098,La Concepción,14
12,Guerrero,001,Acapulco de Juárez,0099,Las Cruces de Cacahuatepec,2
12,Guerrero,001,Acapulco de Juárez,0101,Dos Arroyos,38
12,Guerrero,001,Acapulco de Juárez,0102,Ejido Nuevo,51
12,Guerrero,001,Acapulco de Juárez,0103,Espinalillo,2
12,Guerrero,001,Acapulco de Juárez,0104,La Estación,25
12,Guerrero,001,Acapulco de Juárez,0105,Garrapatas,1
12,Guerrero,001,Acapulco de Juárez,0106,Huajintepec,1
12,Guerrero,001,Acapulco de Juárez,0107,Huamuchitos,11
12,Guerrero,001,Acapulco de Juárez,0108,Los Ilamos,0
12,Guerrero,001,Acapulco de Juárez,0109,Kilómetro 21,63
12,Guerrero,001,Acapulco de Juárez,0110,Kilómetro 30,313
12,Guerrero,001,Acapulco de Juárez,0111,Kilómetro 34,7
12,Guerrero,001,Acapulco de Juárez,0112,Kilómetro 39,26
12,Guerrero,001,Acapulco de Juárez,0113,Kilómetro 40,30
12,Guerrero,001,Acapulco de Juárez,0114,Kilómetro 42 (Juan N. Álvarez),21
12,Guerrero,001,Acapulco de Juárez,0115,Kilómetro 45,6
12,Guerrero,001,Acapulco de Juárez,0116,Kilómetro Cuarenta y Ocho,1
12,Guerrero,001,Acapulco de Juárez,0117,Laguna del Quemado,13
12,Guerrero,001,Acapulco de Juárez,0119,Lomas del Aire,5
12,Guerrero,001,Acapulco de Juárez,0120,Loma Larga,0
12,Guerrero,001,Acapulco de Juárez,0121,Lomas de Chapultepec,48
12,Guerrero,001,Acapulco de Juárez,0124,Las Marías,3
12,Guerrero,001,Acapulco de Juárez,0125,El Metlapil,21
12,Guerrero,001,Acapulco de Juárez,0126,Oaxaquillas,12
12,Guerrero,001,Acapulco de Juárez,0127,Las Ollitas (Las Joyitas),4
12,Guerrero,001,Acapulco de Juárez,0128,Los Órganos de Juan R. Escudero,76
12,Guerrero,001,Acapulco de Juárez,0129,Los Órganos de San Agustín (El Quemado),33
12,Guerrero,001,Acapulco de Juárez,0130,Pablo Galeana (Coacoyular),10
12,Guerrero,001,Acapulco de Juárez,0131,Las Parotas,1
12,Guerrero,001,Acapulco de Juárez,0132,Parotillas,3
12,Guerrero,001,Acapulco de Juárez,0135,El Pelillo,5
12,Guerrero,001,Acapulco de Juárez,0137,Piedra Imán,11
12,Guerrero,001,Acapulco de Juárez,0140,Playones de San Isidro,5
