ENTIDAD,NOM_ENT,MUN,NOM_MUN,LOC,NOM_LOC,P18A24A
14,Jalisco,000,Total de la entidad Jalisco,0000,Total de la Entidad,321347
14,Jalisco,000,Total de la entidad Jalisco,9998,Localidades de una vivienda,154
14,Jalisco,000,Total de la entidad Jalisco,9999,Localidades de dos viviendas,135
14,Jalisco,001,Acatic,0000,Total del Municipio,499
14,Jalisco,001,Acatic,0001,Acatic,333
14,Jalisco,001,Acatic,0002,Agua Prieta (Tepetates),2
14,Jalisco,001,Acatic,0003,Alacates,*
14,Jalisco,001,Acatic,0006,El Bajío de los Herrera,0
14,Jalisco,001,Acatic,0007,El Bañadero,*
14,Jalisco,001,Acatic,0009,Rancho Nuevo Calderón,2
14,Jalisco,001,Acatic,0010,El Capadero (San Miguel de la Loza),0
14,Jalisco,001,Acatic,0011,Carricillo,0
14,Jalisco,001,Acatic,0012,Ceja de Ramblas,0
14,Jalisco,001,Acatic,0013,Cofradía Grande,0
14,Jalisco,001,Acatic,0014,El Colomo,3
14,Jalisco,001,Acatic,0016,Las Coronillas,1
14,Jalisco,001,Acatic,0018,La Charranga,0
14,Jalisco,001,Acatic,0019,El Charco del Ahogado,*
14,Jalisco,001,Acatic,0020,Chiquihuitillo,4
14,Jalisco,001,Acatic,0021,El Chivatero,0
14,Jalisco,001,Acatic,0022,La Estancia,0
14,Jalisco,001,Acatic,0023,La Gallarda,*
14,Jalisco,001,Acatic,0024,La Gazapera,1
14,Jalisco,001,Acatic,0026,La Infamia,*
14,Jalisco,001,Acatic,0027,Jagüey,0
14,Jalisco,001,Acatic,0028,El Jaral,0
14,Jalisco,001,Acatic,0029,Laguna Colorada,1
14,Jalisco,001,Acatic,0030,La Leonera,*
14,Jalisco,001,Acatic,0031,La Leonerita,0
14,Jalisco,001,Acatic,0032,La Loma (La Giganta),0
14,Jalisco,001,Acatic,0033,Los Llanitos,2
14,Jalisco,001,Acatic,0034,Miraflores,*
14,Jalisco,001,Acatic,0035,Monte Largo,2
14,Jalisco,001,Acatic,0036,Las Motas,9
14,Jalisco,001,Acatic,0037,La Nopalera,1
14,Jalisco,001,Acatic,0038,El Ocotillo,*
14,Jalisco,001,Acatic,0040,Ojo de Agua de Verdum,1
14,Jalisco,001,Acatic,0041,Palo Solo,*
14,Jalisco,001,Acatic,0042,Las Paredes,0
14,Jalisco,001,Acatic,0043,Piedra Amarilla,1
14,Jalisco,001,Acatic,0044,Las Pilas,0
14,Jalisco,001,Acatic,0046,La Providencia (Crucero de Acatic),0
14,Jalisco,001,Acatic,0047,La Quinta,0
14,Jalisco,001,Acatic,0048,El Ranchito,*
14,Jalisco,001,Acatic,0049,Los Ranchitos,0
14,Jalisco,001,Acatic,0052,Rancho Nuevo,*
14,Jalisco,001,Acatic,0053,El Ranero,0
14,Jalisco,001,Acatic,0054,El Refugio (Paredones),61
