ENTIDAD,NOM_ENT,MUN,NOM_MUN,LOC,NOM_LOC,P18A24A
15,México,000,Total de la entidad México,0000,Total de la Entidad,713951
15,México,000,Total de la entidad México,9998,Localidades de una vivienda,398
15,México,000,Total de la entidad México,9999,Localidades de dos viviendas,21
15,México,001,Acambay de Ruíz Castañeda,0000,Total del Municipio,2212
15,México,001,Acambay de Ruíz Castañeda,0001,Villa de Acambay de Ruíz Castañeda,315
15,México,001,Acambay de Ruíz Castañeda,0002,Agostadero (San José Agostadero),21
15,México,001,Acambay de Ruíz Castañeda,0003,Agua Limpia,17
15,México,001,Acambay de Ruíz Castañeda,0004,Las Arenas (San Agustín),38
15,México,001,Acambay de Ruíz Castañeda,0006,Boshi Chiquito,12
15,México,001,Acambay de Ruíz Castañeda,0007,Boshi Grande,5
15,México,001,Acambay de Ruíz Castañeda,0008,Botidi,19
15,México,001,Acambay de Ruíz Castañeda,0009,Bovini,7
15,México,001,Acambay de Ruíz Castañeda,0010,Boshindo,31
15,México,001,Acambay de Ruíz Castañeda,0011,La Caridad,48
15,México,001,Acambay de Ruíz Castañeda,0012,Conejeras,17
15,México,001,Acambay de Ruíz Castañeda,0013,Chanteje,11
15,México,001,Acambay de Ruíz Castañeda,0014,Los Charcos,12
15,México,001,Acambay de Ruíz Castañeda,0015,Dateje,4
15,México,001,Acambay de Ruíz Castañeda,0016,Detiña (San Antonio Detiña),91
15,México,001,Acambay de Ruíz Castañeda,0017,Dongu (Dongu Centro),26
15,México,001,Acambay de Ruíz Castañeda,0019,Endeje,52
15,México,001,Acambay de Ruíz Castañeda,0020,El Ermitaño,6
15,México,001,Acambay de Ruíz Castañeda,0021,Esdoca (Esdoca Centro),30
15,México,001,Acambay de Ruíz Castañeda,0022,La Estancia Sector I,47
15,México,001,Acambay de Ruíz Castañeda,0023,Gando,4
15,México,001,Acambay de Ruíz Castañeda,0024,Ganzda,59
15,México,001,Acambay de Ruíz Castañeda,0025,Barrio de Guadalupe,7
15,México,001,Acambay de Ruíz Castañeda,0026,Hondiga,12
15,México,001,Acambay de Ruíz Castañeda,0027,La Huerta,5
15,México,001,Acambay de Ruíz Castañeda,0028,Juando,41
15,México,001,Acambay de Ruíz Castañeda,0029,La Laguna,7
15,México,001,Acambay de Ruíz Castañeda,0031,La Loma (Santa María la Loma),43
15,México,001,Acambay de Ruíz Castañeda,0033,La Manga,4
15,México,001,Acambay de Ruíz Castañeda,0034,Muyteje,3
15,México,001,Acambay de Ruíz Castañeda,0035,Pathé,50
15,México,001,Acambay de Ruíz Castañeda,0036,Los Pilares,56
15,México,001,Acambay de Ruíz Castañeda,0037,Pueblo Nuevo,164
15,México,001,Acambay de Ruíz Castañeda,0038,Puentecillas,36
15,México,001,Acambay de Ruíz Castañeda,0039,San Antonio las Palmas,2
15,México,001,Acambay de Ruíz Castañeda,0040,San Francisco Shaxni,31
15,México,001,Acambay de Ruíz Castañeda,0041,San Ildefonso (San Ildefonso Yolotepec),31
15,México,001,Acambay de Ruíz Castañeda,0042,San José Boctó,20
15,México,001,Acambay de Ruíz Castañeda,0043,San Juanico Sector Uno,41
15,México,001,Acambay de Ruíz Castañeda,0044,San Juanico Sector Dos,28
15,México,001,Acambay de Ruíz Castañeda,0045,San Nicolás Acambay,7
15,México,001,Acambay de Ruíz Castañeda,0046,San Pedro de los Metates,102
15,México,001,Acambay de Ruíz Castañeda,0047,La Soledad,27
15,México,001,Acambay de Ruíz Castañeda,0048,Santa María Tixmadejé (Tixmadejé Grande),36
