ENTIDAD,NOM_ENT,MUN,NOM_MUN,LOC,NOM_LOC,P18A24A
16,Michoacán de Ocampo,000,Total de la entidad Michoacán de Ocampo,0000,Total de la Entidad,152682
16,Michoacán de Ocampo,000,Total de la entidad Michoacán de Ocampo,9998,Localidades de una vivienda,79
16,Michoacán de Ocampo,000,Total de la entidad Michoacán de Ocampo,9999,Localidades de dos viviendas,264
16,Michoacán de Ocampo,001,Acuitzio,0000,Total del Municipio,358
16,Michoacán de Ocampo,001,Acuitzio,0001,Acuitzio del Canje,282
16,Michoacán de Ocampo,001,Acuitzio,0002,Los Aguacates,4
16,Michoacán de Ocampo,001,Acuitzio,0003,La Angostura,0
16,Michoacán de Ocampo,001,Acuitzio,0004,Aróstaro,*
16,Michoacán de Ocampo,001,Acuitzio,0005,Arroyo Hondo,1
16,Michoacán de Ocampo,001,Acuitzio,0006,El Auxilio (Los Tanques),0
16,Michoacán de Ocampo,001,Acuitzio,0007,La Campana,7
16,Michoacán de Ocampo,001,Acuitzio,0008,Las Canoas,1
16,Michoacán de Ocampo,001,Acuitzio,0009,El Ciprés,0
16,Michoacán de Ocampo,001,Acuitzio,0010,Cruz Gorda,0
16,Michoacán de Ocampo,001,Acuitzio,0011,Cutzaro,17
16,Michoacán de Ocampo,001,Acuitzio,0013,Huajumbo,5
16,Michoacán de Ocampo,001,Acuitzio,0014,La Laja,1
16,Michoacán de Ocampo,001,Acuitzio,0015,La Palma,4
16,Michoacán de Ocampo,001,Acuitzio,0016,Páramo,0
16,Michoacán de Ocampo,001,Acuitzio,0017,El Paredón,2
16,Michoacán de Ocampo,001,Acuitzio,0018,Paso del Muerto,1
16,Michoacán de Ocampo,001,Acuitzio,0020,San Andrés Coapa,7
16,Michoacán de Ocampo,001,Acuitzio,0021,Tamanguío,3
16,Michoacán de Ocampo,001,Acuitzio,0023,Tirípano,3
16,Michoacán de Ocampo,001,Acuitzio,0024,El Tzintzún,0
16,Michoacán de Ocampo,001,Acuitzio,0025,El Varal,0
16,Michoacán de Ocampo,001,Acuitzio,0026,La Vinata,1
16,Michoacán de Ocampo,001,Acuitzio,0027,Ziparapio el Alto,5
16,Michoacán de Ocampo,001,Acuitzio,0032,Agua Grande,*
16,Michoacán de Ocampo,001,Acuitzio,0033,Agua Puerca,0
16,Michoacán de Ocampo,001,Acuitzio,0034,Corralo (Tirindiriz),1
16,Michoacán de Ocampo,001,Acuitzio,0036,La Peñita,0
16,Michoacán de Ocampo,001,Acuitzio,0038,Rosa de Castilla,0
16,Michoacán de Ocampo,001,Acuitzio,0039,El Terrero,*
16,Michoacán de Ocampo,001,Acuitzio,0040,La Tinaja,1
16,Michoacán de Ocampo,001,Acuitzio,0041,Las Trojes (Las Trojas),0
16,Michoacán de Ocampo,001,Acuitzio,0042,La Huizata,3
16,Michoacán de Ocampo,001,Acuitzio,0044,La Paloma (Ziparapio el Bajo),3
16,Michoacán de Ocampo,001,Acuitzio,0046,Las Juntas,2
16,Michoacán de Ocampo,001,Acuitzio,0047,El Melón,1
16,Michoacán de Ocampo,001,Acuitzio,0048,El Moral,*
16,Michoacán de Ocampo,001,Acuitzio,0050,Loma del Pastor,1
16,Michoacán de Ocampo,001,Acuitzio,0053,Francisco Villa [Colonia],1
16,Michoacán de Ocampo,001,Acuitzio,0054,Tepatzicuaro,*
16,Michoacán de Ocampo,001,Acuitzio,9998,Localidades de una vivienda,1
16,Michoacán de Ocampo,001,Acuitzio,9999,Localidades de dos viviendas,0
16,Michoacán de Ocampo,002,Aguililla,0000,Total del Municipio,140
16,Michoacán de Ocampo,002,Aguililla,0001,Aguililla,96
16,Michoacán de Ocampo,002,Aguililla,0009,Bonifacio Moreno (El Aguaje),22
16,Michoacán de Ocampo,002,Aguililla,0013,Alacranes,*
16,Michoacán de Ocampo,002,Aguililla,0014,La Alberca,*
16,Michoacán de Ocampo,002,Aguililla,0019,Arroyo Seco,0
16,Michoacán de Ocampo,002,Aguililla,0020,El Barbasco,0
16,Michoacán de Ocampo,002,Aguililla,0021,La Barilera,*
16,Michoacán de Ocampo,002,Aguililla,0024,Barranca del Aguacate,*
16,Michoacán de Ocampo,002,Aguililla,0031,El Blanqueadero,0
16,Michoacán de Ocampo,002,Aguililla,0032,La Bocanita,0
16,Michoacán de Ocampo,002,Aguililla,0033,La Bolsa (Paso de la Bolsa),*
16,Michoacán de Ocampo,002,Aguililla,0037,La Cabra,1
16,Michoacán de Ocampo,002,Aguililla,0039,La Calabaza,*
16,Michoacán de Ocampo,002,Aguililla,0049,La Cebadilla (Barranca de la Cebadilla),*
16,Michoacán de Ocampo,002,Aguililla,0050,El Cedral,*
16,Michoacán de Ocampo,002,Aguililla,0060,Peña Colorada,6
16,Michoacán de Ocampo,002,Aguililla,0062,Corral de Piedra,*
16,Michoacán de Ocampo,002,Aguililla,0063,Las Crucitas,0
16,Michoacán de Ocampo,002,Aguililla,0068,El Chanal,*
16,Michoacán de Ocampo,002,Aguililla,0070,El Charapo (Palo Alto),1
16,Michoacán de Ocampo,002,Aguililla,0078,Dos Aguas,5
16,Michoacán de Ocampo,002,Aguililla,0080,El Encanto,*
16,Michoacán de Ocampo,002,Aguililla,0081,El Puente del Encinal,*
16,Michoacán de Ocampo,002,Aguililla,0097,Los Guamiles (Las Higueritas),*
16,Michoacán de Ocampo,002,Aguililla,0098,El Guayabal (El Guayabal Sur),*
16,Michoacán de Ocampo,002,Aguililla,0105,La Haciendita,0
16,Michoacán de Ocampo,002,Aguililla,0107,La Higuera de la Virgen,*
16,Michoacán de Ocampo,002,Aguililla,0112,Los Horcones,0
16,Michoacán de Ocampo,002,Aguililla,0116,Huisto,0
16,Michoacán de Ocampo,002,Aguililla,0120,El Jovero,*
16,Michoacán de Ocampo,002,Aguililla,0134,El Limoncito,0
16,Michoacán de Ocampo,002,Aguililla,0136,General Lázaro Cárdenas (El Limón),3
16,Michoacán de Ocampo,002,Aguililla,0140,La Lobera,0
16,Michoacán de Ocampo,002,Aguililla,0142,La Loma,0
16,Michoacán de Ocampo,002,Aguililla,0146,El Mamey,*
16,Michoacán de Ocampo,002,Aguililla,0157,Naranjo de Chila,5
16,Michoacán de Ocampo,002,Aguililla,0158,Naranjo Viejo,0
16,Michoacán de Ocampo,002,Aguililla,0164,La Palmera,0
16,Michoacán de Ocampo,002,Aguililla,0166,Palo Alto (Hacienda Palo Alto),0
16,Michoacán de Ocampo,002,Aguililla,0172,El Parotal,*
16,Michoacán de Ocampo,002,Aguililla,0177,Patacuas,*
16,Michoacán de Ocampo,002,Aguililla,0178,Colonia la Paz [Crucero de Dos Aguas],0
16,Michoacán de Ocampo,002,Aguililla,0179,El Pelechado,*
16,Michoacán de Ocampo,002,Aguililla,0183,Piedra Verde,*
16,Michoacán de Ocampo,002,Aguililla,0186,El Pino,0
16,Michoacán de Ocampo,002,Aguililla,0187,El Pinzán,0
16,Michoacán de Ocampo,002,Aguililla,0188,La Pinzanera,0
16,Michoacán de Ocampo,002,Aguililla,0189,El Platanillo,0
16,Michoacán de Ocampo,002,Aguililla,0192,El Potrero,0
16,Michoacán de Ocampo,002,Aguililla,0194,El Pueblito,*
16,Michoacán de Ocampo,002,Aguililla,0199,Puerto del Platanillo,*
16,Michoacán de Ocampo,002,Aguililla,0205,Rancho Viejo,0
16,Michoacán de Ocampo,002,Aguililla,0209,El Rincón,*
16,Michoacán de Ocampo,002,Aguililla,0210,El Rodeo,0
16,Michoacán de Ocampo,002,Aguililla,0227,El Tazumbo,*
16,Michoacán de Ocampo,002,Aguililla,0232,Tepoztán de Abajo,*
16,Michoacán de Ocampo,002,Aguililla,0234,Tierra de Bueyes,*
16,Michoacán de Ocampo,002,Aguililla,0237,El Tigre,*
16,Michoacán de Ocampo,002,Aguililla,0248,La Uva,*
16,Michoacán de Ocampo,002,Aguililla,0250,La Venadera,*
16,Michoacán de Ocampo,002,Aguililla,0290,Casas Blanqueadas,*
16,Michoacán de Ocampo,002,Aguililla,0291,El Capire,*
16,Michoacán de Ocampo,002,Aguililla,0307,El Guayabo,*
16,Michoacán de Ocampo,002,Aguililla,0309,La Huerta,0
16,Michoacán de Ocampo,002,Aguililla,0319,La Longaniza,*
16,Michoacán de Ocampo,002,Aguililla,0321,La Limonera,*
16,Michoacán de Ocampo,002,Aguililla,0326,Los Manguitos,*
16,Michoacán de Ocampo,002,Aguililla,0345,Potrerillos,0
16,Michoacán de Ocampo,002,Aguililla,0347,Los Parajes,0
16,Michoacán de Ocampo,002,Aguililla,0353,Porucho,0
16,Michoacán de Ocampo,002,Aguililla,0354,La Higuera Podrida,*
16,Michoacán de Ocampo,002,Aguililla,0356,Paso de los Atutos,*
16,Michoacán de Ocampo,002,Aguililla,0378,Voladeros,0
16,Michoacán de Ocampo,002,Aguililla,0395,El Aguacate,*
16,Michoacán de Ocampo,002,Aguililla,0398,La Camalotera,0
16,Michoacán de Ocampo,002,Aguililla,0399,Las Canoas,0
16,Michoacán de Ocampo,002,Aguililla,0400,La Canoa,*
16,Michoacán de Ocampo,002,Aguililla,0402,Los Cisneros,*
16,Michoacán de Ocampo,002,Aguililla,0403,El Comalito,*
16,Michoacán de Ocampo,002,Aguililla,0406,El Charco,*
16,Michoacán de Ocampo,002,Aguililla,0407,El Chical,0
16,Michoacán de Ocampo,002,Aguililla,0412,La Golondrina,*
16,Michoacán de Ocampo,002,Aguililla,0416,El Hondable,*
16,Michoacán de Ocampo,002,Aguililla,0417,Los Horcones,*
