ENTIDAD,NOM_ENT,MUN,NOM_MUN,LOC,NOM_LOC,P18A24A
18,Nayarit,000,Total de la entidad Nayarit,0000,Total de la Entidad,47282
18,Nayarit,000,Total de la entidad Nayarit,9998,Localidades de una vivienda,65
18,Nayarit,000,Total de la entidad Nayarit,9999,Localidades de dos viviendas,30
18,Nayarit,001,Acaponeta,0000,Total del Municipio,1439
18,Nayarit,001,Acaponeta,0001,Acaponeta,943
18,Nayarit,001,Acaponeta,0004,El Aguaje,15
18,Nayarit,001,Acaponeta,0006,El Alacrán,1
18,Nayarit,001,Acaponeta,0007,Amado Nervo,0
18,Nayarit,001,Acaponeta,0009,El Antigüe,*
18,Nayarit,001,Acaponeta,0010,La Bayona,23
18,Nayarit,001,Acaponeta,0011,Buenavista (Las Paredes),6
18,Nayarit,001,Acaponeta,0012,El Caimanero,*
18,Nayarit,001,Acaponeta,0013,El Camichín,*
18,Nayarit,001,Acaponeta,0015,El Cangrejo (Teacapán),*
18,Nayarit,001,Acaponeta,0016,El Tejón (El Cantón),5
18,Nayarit,001,Acaponeta,0018,El Carrizo,3
18,Nayarit,001,Acaponeta,0019,Casas Coloradas,26
18,Nayarit,001,Acaponeta,0020,Las Casitas,7
18,Nayarit,001,Acaponeta,0021,El Centenario,25
18,Nayarit,001,Acaponeta,0022,Cerro Bola,8
18,Nayarit,001,Acaponeta,0028,La Cortés,*
18,Nayarit,001,Acaponeta,0036,Las Grullas,*
18,Nayarit,001,Acaponeta,0037,La Guásima,48
18,Nayarit,001,Acaponeta,0038,El Guayabo,0
18,Nayarit,001,Acaponeta,0039,Hacienda Vieja,0
18,Nayarit,001,Acaponeta,0040,La Haciendilla,2
18,Nayarit,001,Acaponeta,0041,La Higuerita Vieja,4
18,Nayarit,001,Acaponeta,0043,La Higuerita Nueva (El Carrizo),4
18,Nayarit,001,Acaponeta,0044,Hojas Anchas,0
18,Nayarit,001,Acaponeta,0050,Llano de la Cruz,23
18,Nayarit,001,Acaponeta,0052,El Llorón,0
18,Nayarit,001,Acaponeta,0054,Llano de Mariquitas,4
18,Nayarit,001,Acaponeta,0055,Hacienda de Mariquitas,2
18,Nayarit,001,Acaponeta,0056,Mesa las Arpas,0
18,Nayarit,001,Acaponeta,0058,Mesa de Pedro Pablo,1
18,Nayarit,001,Acaponeta,0059,Las Mesitas,0
18,Nayarit,001,Acaponeta,0063,San José de Motaje,6
18,Nayarit,001,Acaponeta,0066,El Naranjal,*
18,Nayarit,001,Acaponeta,0068,El Oro,0
18,Nayarit,001,Acaponeta,0070,La Palma,2
18,Nayarit,001,Acaponeta,0071,Las Palmitas,0
18,Nayarit,001,Acaponeta,0072,La Paloma Nueva Reforma,1
18,Nayarit,001,Acaponeta,0077,Piedra Ancha,2
18,Nayarit,001,Acaponeta,0082,El Recodo,31
18,Nayarit,001,Acaponeta,0083,El Resbalón,13
18,Nayarit,001,Acaponeta,0086,San Blasito,0
18,Nayarit,001,Acaponeta,0087,San Diego de Alcalá,5
