ENTIDAD,NOM_ENT,MUN,NOM_MUN,LOC,NOM_LOC,P18A24A
21,Puebla,000,Total de la entidad Puebla,0000,Total de la Entidad,265778
21,Puebla,000,Total de la entidad Puebla,9998,Localidades de una vivienda,48
21,Puebla,000,Total de la entidad Puebla,9999,Localidades de dos viviendas,64
21,Puebla,001,Acajete,0000,Total del Municipio,2008
21,Puebla,001,Acajete,0001,Acajete,572
21,Puebla,001,Acajete,0002,Acultzingo,*
21,Puebla,001,Acajete,0003,La Cardenista (Colonia Lázaro Cárdenas),8
21,Puebla,001,Acajete,0004,La Magdalena Tetela Morelos,134
21,Puebla,001,Acajete,0005,Cuautenco (La Cañería),0
21,Puebla,001,Acajete,0006,San Agustín Tlaxco,277
21,Puebla,001,Acajete,0007,San Antonio Tlacamilco,54
21,Puebla,001,Acajete,0008,San Bartolo Pinal,12
21,Puebla,001,Acajete,0009,San Bernardino Citlaltépetl,1
21,Puebla,001,Acajete,0010,San Javier,2
21,Puebla,001,Acajete,0011,San Jerónimo Ocotitlán,131
21,Puebla,001,Acajete,0013,San Martín la Joya,0
21,Puebla,001,Acajete,0015,Santa Isabel Tepetzala,387
21,Puebla,001,Acajete,0016,Santa María Nenetzintla,171
21,Puebla,001,Acajete,0017,San Juan Tepulco,59
21,Puebla,001,Acajete,0018,Buenavista,0
21,Puebla,001,Acajete,0020,San Carlos,*
21,Puebla,001,Acajete,0021,Nuestra Señora del Monte,1
21,Puebla,001,Acajete,0024,Apango de Zaragoza,87
21,Puebla,001,Acajete,0026,La Providencia,1
21,Puebla,001,Acajete,0033,Tlacamilco,71
21,Puebla,001,Acajete,0035,Cristo Rey,1
21,Puebla,001,Acajete,0036,El Potrero,0
21,Puebla,001,Acajete,0038,San Antonio Conocido,0
21,Puebla,001,Acajete,0040,El Tetelito,0
21,Puebla,001,Acajete,0042,San Juanico,*
21,Puebla,001,Acajete,0043,San José el Tintero,3
21,Puebla,001,Acajete,0044,La Tronquera,*
21,Puebla,001,Acajete,0045,El Callejón,0
21,Puebla,001,Acajete,0046,San Bernardino,1
21,Puebla,001,Acajete,0047,El Rincón (Barrio Nuevo),0
21,Puebla,001,Acajete,0048,Santa Cruz Buenos Aires,1
21,Puebla,001,Acajete,0049,San José Sección Quinta,13
21,Puebla,001,Acajete,0050,El Rayito,0
21,Puebla,001,Acajete,0051,Santa Cruz Buenos Aires,4
21,Puebla,001,Acajete,0052,El Mirador,*
21,Puebla,001,Acajete,0055,Tepatlaxco,5
21,Puebla,001,Acajete,0056,El Tepeyac (Texal),2
21,Puebla,001,Acajete,0057,Vallarta,0
21,Puebla,001,Acajete,0059,Santa Cruz la Calera,0
21,Puebla,001,Acajete,0061,Carretaholt,0
21,Puebla,001,Acajete,0062,Los Encinos,1
21,Puebla,001,Acajete,0063,La Magdalena Tetela Morelos,0
21,Puebla,001,Acajete,0065,San Miguel,1
21,Puebla,001,Acajete,0066,Santa Isabel Tepetzala,3
21,Puebla,001,Acajete,0067,Sección del Domingo,0
21,Puebla,001,Acajete,0068,La Soledad (San Miguel la Blanca),0
21,Puebla,001,Acajete,0069,Los Tejocotes,0
21,Puebla,001,Acajete,0071,El Textello,0
21,Puebla,001,Acajete,0075,El Tetel,*
21,Puebla,001,Acajete,0076,San Martín la Joya,0
21,Puebla,001,Acajete,0077,Los Nogales,*
21,Puebla,001,Acajete,0078,El Águila,0
21,Puebla,001,Acajete,0079,Cuatzapalo,0
21,Puebla,001,Acajete,0080,La Joya [Calhidra de Oriente],1
21,Puebla,001,Acajete,0082,Tecruz,*
21,Puebla,001,Acajete,0084,San Agustín Tlaxco,2
21,Puebla,001,Acajete,0087,Metenco Malintzi,*
21,Puebla,001,Acajete,0089,Xonacayo,0
21,Puebla,001,Acajete,0090,Amacuatitas,0
21,Puebla,001,Acajete,0091,Rancho de Rojas,*
21,Puebla,001,Acajete,0092,La Honguera,1
21,Puebla,001,Acajete,0093,Sección Sábado,1
21,Puebla,001,Acajete,0095,La Mesa,*
21,Puebla,001,Acajete,0096,El Cerrito,0
21,Puebla,001,Acajete,0098,Los Rojas,*
21,Puebla,001,Acajete,9998,Localidades de una vivienda,0
21,Puebla,001,Acajete,9999,Localidades de dos viviendas,0
21,Puebla,002,Acateno,0000,Total del Municipio,149
21,Puebla,002,Acateno,0001,San José Acateno,75
21,Puebla,002,Acateno,0002,El Aguacate,0
21,Puebla,002,Acateno,0003,Arenales,0
21,Puebla,002,Acateno,0004,Arizona,*
21,Puebla,002,Acateno,0005,Arroyo Blanco,1
21,Puebla,002,Acateno,0006,Atalpa,*
21,Puebla,002,Acateno,0007,Ayones,0
21,Puebla,002,Acateno,0008,Ayoteaco,*
21,Puebla,002,Acateno,0009,Buenos Aires,0
21,Puebla,002,Acateno,0010,Cantarranas,*
21,Puebla,002,Acateno,0011,La Cantina,0
21,Puebla,002,Acateno,0012,Cerro de Acateno,0
21,Puebla,002,Acateno,0013,Cojolites,4
21,Puebla,002,Acateno,0014,Copales,0
21,Puebla,002,Acateno,0016,El Huarache,0
21,Puebla,002,Acateno,0017,Chichicazapan,0
21,Puebla,002,Acateno,0018,Dos Aguas,4
21,Puebla,002,Acateno,0019,Dos Arroyos,0
21,Puebla,002,Acateno,0020,Dos Caminos,4
21,Puebla,002,Acateno,0021,La Esperanza,0
21,Puebla,002,Acateno,0022,El Fortín,*
21,Puebla,002,Acateno,0023,El Guayabal,2
21,Puebla,002,Acateno,0024,La Higuera,*
21,Puebla,002,Acateno,0025,Jiliapan,10
21,Puebla,002,Acateno,0026,La Laja,*
21,Puebla,002,Acateno,0027,Loma de la Cruz,0
21,Puebla,002,Acateno,0029,Monte Limpio,0
21,Puebla,002,Acateno,0030,El Ocotillo,0
21,Puebla,002,Acateno,0032,La Palma,1
21,Puebla,002,Acateno,0033,Palmartepec (Cerro de Palmartepec),11
21,Puebla,002,Acateno,0034,Palo Gacho,0
