ENTIDAD,NOM_ENT,MUN,NOM_MUN,LOC,NOM_LOC,P18A24A
22,Querétaro,000,Total de la entidad Querétaro,0000,Total de la Entidad,96819
22,Querétaro,000,Total de la entidad Querétaro,9998,Localidades de una vivienda,58
22,Querétaro,000,Total de la entidad Querétaro,9999,Localidades de dos viviendas,19
22,Querétaro,001,Amealco de Bonfil,0000,Total del Municipio,1304
22,Querétaro,001,Amealco de Bonfil,0001,Amealco de Bonfil,375
22,Querétaro,001,Amealco de Bonfil,0002,Agua Blanca,2
22,Querétaro,001,Amealco de Bonfil,0003,El Apartadero,7
22,Querétaro,001,Amealco de Bonfil,0004,El Aserrín (Ojo de Agua del Hornito),2
22,Querétaro,001,Amealco de Bonfil,0005,El Atorón,2
22,Querétaro,001,Amealco de Bonfil,0006,El Batán,3
22,Querétaro,001,Amealco de Bonfil,0008,El Capulín,0
22,Querétaro,001,Amealco de Bonfil,0009,El Carmen (Santiago Mexquititlán Barrio 6to.),8
22,Querétaro,001,Amealco de Bonfil,0010,La Cofradía,*
22,Querétaro,001,Amealco de Bonfil,0012,El Varal,1
22,Querétaro,001,Amealco de Bonfil,0013,Chitejé de la Cruz,9
22,Querétaro,001,Amealco de Bonfil,0014,Donicá,24
22,Querétaro,001,Amealco de Bonfil,0016,Galindillo,2
22,Querétaro,001,Amealco de Bonfil,0017,Hacienda Blanca,2
22,Querétaro,001,Amealco de Bonfil,0018,La Isla,0
22,Querétaro,001,Amealco de Bonfil,0019,La Concepción (La Concha),1
22,Querétaro,001,Amealco de Bonfil,0020,La Ladera,17
22,Querétaro,001,Amealco de Bonfil,0021,Laguna de Servín,3
22,Querétaro,001,Amealco de Bonfil,0022,El Lindero,28
22,Querétaro,001,Amealco de Bonfil,0023,Loma Linda,13
22,Querétaro,001,Amealco de Bonfil,0024,La Manzana,9
22,Querétaro,001,Amealco de Bonfil,0025,Mesillas,22
22,Querétaro,001,Amealco de Bonfil,0027,La Muralla,10
22,Querétaro,001,Amealco de Bonfil,0028,Palos Altos,0
22,Querétaro,001,Amealco de Bonfil,0029,Santiago Mexquititlán Barrio 5to. (El Pastoreo),10
22,Querétaro,001,Amealco de Bonfil,0030,El Picacho,21
22,Querétaro,001,Amealco de Bonfil,0031,Jacal de la Piedad,6
22,Querétaro,001,Amealco de Bonfil,0032,El Pino,4
22,Querétaro,001,Amealco de Bonfil,0033,Quiotillos,16
22,Querétaro,001,Amealco de Bonfil,0034,El Rincón,2
22,Querétaro,001,Amealco de Bonfil,0035,El Salvador,0
22,Querétaro,001,Amealco de Bonfil,0036,Barrio San Antonio (San Bartolo),1
22,Querétaro,001,Amealco de Bonfil,0037,San Bartolomé del Pino (San Bartolo),10
22,Querétaro,001,Amealco de Bonfil,0038,San Felipe (Santiago Mexquititlán Barrio 6to.),12
22,Querétaro,001,Amealco de Bonfil,0039,San Ildefonso Tultepec (Centro),76
22,Querétaro,001,Amealco de Bonfil,0040,San José Ithó,46
22,Querétaro,001,Amealco de Bonfil,0041,San Juan Dehedó,25
22,Querétaro,001,Amealco de Bonfil,0042,San Martín,7
22,Querétaro,001,Amealco de Bonfil,0043,San Miguel Dehetí,30
22,Querétaro,001,Amealco de Bonfil,0044,San Miguel Tlaxcaltepec (Barrio Centro),9
22,Querétaro,001,Amealco de Bonfil,0045,San Pablo,8
22,Querétaro,001,Amealco de Bonfil,0046,San Pedro Tenango,5
22,Querétaro,001,Amealco de Bonfil,0047,Santiago Mexquititlán Barrio 3ro.,13
22,Querétaro,001,Amealco de Bonfil,0048,Santiago Mexquititlán Barrio 4to.,19
22,Querétaro,001,Amealco de Bonfil,0049,Santiago Mexquititlán Barrio 2do.,22
22,Querétaro,001,Amealco de Bonfil,0050,Santiago Mexquititlán Barrio 1ro.,39
22,Querétaro,001,Amealco de Bonfil,0051,El Saucito,9
22,Querétaro,001,Amealco de Bonfil,0052,La Soledad,9
22,Querétaro,001,Amealco de Bonfil,0053,Tenasdá (Barrio de San Ildefonso),19
22,Querétaro,001,Amealco de Bonfil,0054,El Tepozán (Barrio de San Ildefonso),7
22,Querétaro,001,Amealco de Bonfil,0055,Guadalupe el Terrero,15
22,Querétaro,001,Amealco de Bonfil,0056,San Nicolás de la Torre,34
22,Querétaro,001,Amealco de Bonfil,0057,La Alameda del Rincón,4
22,Querétaro,001,Amealco de Bonfil,0059,El Bothé,24
22,Querétaro,001,Amealco de Bonfil,0060,La Cruz (San Bartolo),9
22,Querétaro,001,Amealco de Bonfil,0062,Chitejé de Garabato,15
22,Querétaro,001,Amealco de Bonfil,0063,El Granjeno,6
22,Querétaro,001,Amealco de Bonfil,0065,La Piní,4
22,Querétaro,001,Amealco de Bonfil,0066,San Antonio la Labor,0
22,Querétaro,001,Amealco de Bonfil,0070,Yosphí,27
22,Querétaro,001,Amealco de Bonfil,0072,El Rayo,4
22,Querétaro,001,Amealco de Bonfil,0074,El Rincón de San Ildefonso,12
22,Querétaro,001,Amealco de Bonfil,0075,Los Arcos,5
22,Querétaro,001,Amealco de Bonfil,0076,Ejido el Rincón (La Botija),1
22,Querétaro,001,Amealco de Bonfil,0080,Mal Paso (La Laguna),*
22,Querétaro,001,Amealco de Bonfil,0084,La Beata,1
22,Querétaro,001,Amealco de Bonfil,0085,Los Reyes,0
22,Querétaro,001,Amealco de Bonfil,0086,La Mesa,1
22,Querétaro,001,Amealco de Bonfil,0087,Ejido de San Juan Dehedó,2
22,Querétaro,001,Amealco de Bonfil,0088,Rincón de la Florida,0
22,Querétaro,001,Amealco de Bonfil,0089,Los Árboles,3
22,Querétaro,001,Amealco de Bonfil,0090,El Capulín,4
22,Querétaro,001,Amealco de Bonfil,0091,San José de los Encinos (Las Cabañas) [Fraccionamiento],3
22,Querétaro,001,Amealco de Bonfil,0092,Barrio la Esperanza (San Bartolo),2
22,Querétaro,001,Amealco de Bonfil,0093,Loma de las Víboras (Santiago Mexquititlán Barrio 6to.),5
22,Querétaro,001,Amealco de Bonfil,0094,El Cacahuate (Santiago Mexquititlán Barrio 6to.),1
22,Querétaro,001,Amealco de Bonfil,0095,Barrio de Santa Teresa (Santiago Mexquititlán Barrio 6to.),1
