ENTIDAD,NOM_ENT,MUN,NOM_MUN,LOC,NOM_LOC,P18A24A
23,Quintana Roo,000,Total de la entidad Quintana Roo,0000,Total de la Entidad,61264
23,Quintana Roo,000,Total de la entidad Quintana Roo,9998,Localidades de una vivienda,83
23,Quintana Roo,000,Total de la entidad Quintana Roo,9999,Localidades de dos viviendas,23
23,Quintana Roo,001,Cozumel,0000,Total del Municipio,2688
23,Quintana Roo,001,Cozumel,0001,Cozumel,2575
23,Quintana Roo,001,Cozumel,0057,Las Palmitas,*
23,Quintana Roo,001,Cozumel,0067,El Cedral,2
23,Quintana Roo,001,Cozumel,0122,Punta Morena,*
23,Quintana Roo,001,Cozumel,0165,Buenavista,0
23,Quintana Roo,001,Cozumel,0232,Santa Rita,*
23,Quintana Roo,001,Cozumel,0305,San Jorge,*
23,Quintana Roo,001,Cozumel,0384,Los Garañones,*
23,Quintana Roo,001,Cozumel,0418,María Luisa,*
23,Quintana Roo,001,Cozumel,0419,Cerro Chumul,*
23,Quintana Roo,001,Cozumel,0426,La Estrella,5
23,Quintana Roo,001,Cozumel,0427,San Pedro,*
23,Quintana Roo,001,Cozumel,0452,Aldea Isla Grande,*
23,Quintana Roo,001,Cozumel,0456,Sol Estéreo,*
23,Quintana Roo,001,Cozumel,0462,Los Pinos,0
23,Quintana Roo,001,Cozumel,0474,México Lindo,*
23,Quintana Roo,001,Cozumel,0480,Rancho Lulú,*
23,Quintana Roo,001,Cozumel,0487,María Magdalena,*
23,Quintana Roo,001,Cozumel,0494,Nuestra Señora de Guadalupe,0
23,Quintana Roo,001,Cozumel,0498,Palmar Primero,0
23,Quintana Roo,001,Cozumel,0515,Rancho Argüelles,*
23,Quintana Roo,001,Cozumel,0546,Paloma Negra,*
23,Quintana Roo,001,Cozumel,0576,La Milpa,*
23,Quintana Roo,001,Cozumel,0617,Ramonales,*
23,Quintana Roo,001,Cozumel,0628,San Carlos,*
23,Quintana Roo,001,Cozumel,0735,La Amistad,*
23,Quintana Roo,001,Cozumel,0738,La Cabaña del Pescador,*
23,Quintana Roo,001,Cozumel,0741,Paso María,*
23,Quintana Roo,001,Cozumel,0745,Chichihualco,0
23,Quintana Roo,001,Cozumel,0746,Xkaliahche,*
23,Quintana Roo,001,Cozumel,0754,Huerto Familiar,3
23,Quintana Roo,001,Cozumel,0758,Villa Mafi,*
23,Quintana Roo,001,Cozumel,0760,San Juan,*
23,Quintana Roo,001,Cozumel,0766,Edilberto Sosa León,*
23,Quintana Roo,001,Cozumel,0774,Tamaulipas [Rancho],*
23,Quintana Roo,001,Cozumel,0776,Kilómetro Cuatro Punto Cinco,*
23,Quintana Roo,001,Cozumel,0777,Ecoparque Cuzam,*
23,Quintana Roo,001,Cozumel,0787,Quinta Vimar,*
23,Quintana Roo,001,Cozumel,0788,Kilómetro Doce,*
23,Quintana Roo,001,Cozumel,0793,Las Palmeras,*
23,Quintana Roo,001,Cozumel,0794,Playa Bosh,*
23,Quintana Roo,001,Cozumel,0800,Pueblo Nuevo,0
23,Quintana Roo,001,Cozumel,0802,El Divino Niño Jesús,*
23,Quintana Roo,001,Cozumel,0813,San Miguel,*
23,Quintana Roo,001,Cozumel,0818,Santa Cecilia,*
23,Quintana Roo,001,Cozumel,0820,Santa María,*
23,Quintana Roo,001,Cozumel,0837,San Antonio,*
23,Quintana Roo,001,Cozumel,0845,Nueva Esperanza,0
23,Quintana Roo,001,Cozumel,0854,La Esperanza,0
23,Quintana Roo,001,Cozumel,0856,Fausto Coral,*
23,Quintana Roo,001,Cozumel,0858,San Fernando,19
23,Quintana Roo,001,Cozumel,0859,Maya Luum,*
23,Quintana Roo,001,Cozumel,0862,Iguanas Ranas,*
23,Quintana Roo,001,Cozumel,0869,El Refugio,*
23,Quintana Roo,001,Cozumel,0873,Los Tres Regalos,*
23,Quintana Roo,001,Cozumel,0874,Laguna Ciega,*
23,Quintana Roo,001,Cozumel,0877,La Selva,0
23,Quintana Roo,001,Cozumel,0878,Nachi Cocom,*
23,Quintana Roo,001,Cozumel,0879,Rancho Palmitas,*
23,Quintana Roo,001,Cozumel,0891,Ranchitos,21
23,Quintana Roo,001,Cozumel,0893,Quinta la Bonita,0
23,Quintana Roo,001,Cozumel,0895,Santa Teresa,*
23,Quintana Roo,001,Cozumel,0899,Varadero,1
23,Quintana Roo,001,Cozumel,0901,Yumka,*
23,Quintana Roo,001,Cozumel,0907,Casa Tunich,*
23,Quintana Roo,001,Cozumel,0914,Turquesa [Radio],*
23,Quintana Roo,001,Cozumel,0917,Juan Leyenda Trigo,2
23,Quintana Roo,001,Cozumel,0919,Mundo Palancar,*
23,Quintana Roo,001,Cozumel,0928,Villas Pavo Real,0
23,Quintana Roo,001,Cozumel,0929,El Rincón [Héctor],*
23,Quintana Roo,001,Cozumel,0932,Las Fincas,40
23,Quintana Roo,001,Cozumel,0933,Paradise Condominiums,*
23,Quintana Roo,001,Cozumel,0935,Osio Meliporas,*
23,Quintana Roo,001,Cozumel,0938,Residencias Reef,*
23,Quintana Roo,001,Cozumel,0942,Villa Tikal,*
23,Quintana Roo,001,Cozumel,0947,La Esperanza AC,*
23,Quintana Roo,001,Cozumel,0948,Guadalupe del Carmen,*
23,Quintana Roo,001,Cozumel,0949,La Huerta,*
23,Quintana Roo,001,Cozumel,0950,Kilómetro Ocho y Medio,*
23,Quintana Roo,001,Cozumel,0953,Katia Soto,*
23,Quintana Roo,001,Cozumel,0955,Rancho Enríquez,*
23,Quintana Roo,001,Cozumel,0956,Rancho Palomo,*
23,Quintana Roo,001,Cozumel,0957,El Refugio,0
23,Quintana Roo,001,Cozumel,0958,San Nicolás,*
23,Quintana Roo,001,Cozumel,0961,Bosh Balam,*
23,Quintana Roo,001,Cozumel,0962,De los Santos,*
23,Quintana Roo,001,Cozumel,0967,Tres Marías,*
23,Quintana Roo,001,Cozumel,0968,Gabriel y Gabriela,*
23,Quintana Roo,001,Cozumel,0970,El Gato,*
23,Quintana Roo,001,Cozumel,0972,Isla Maya,*
23,Quintana Roo,001,Cozumel,0973,Luis Alcérreca,*
23,Quintana Roo,001,Cozumel,0975,Las Perlitas,*
23,Quintana Roo,001,Cozumel,0976,San Carlos,0
23,Quintana Roo,001,Cozumel,0978,Universo,*
23,Quintana Roo,001,Cozumel,0985,La Princesa,*
23,Quintana Roo,001,Cozumel,0987,Mariposas,0
23,Quintana Roo,001,Cozumel,0991,Gavilanes,*
23,Quintana Roo,001,Cozumel,0992,Santa Zitta,*
23,Quintana Roo,001,Cozumel,0993,San Manuel,*
23,Quintana Roo,001,Cozumel,0994,Góngora [Palapas],*
23,Quintana Roo,001,Cozumel,0999,La Esperanza,11
23,Quintana Roo,001,Cozumel,1000,Nazario Uc Ciau,*
23,Quintana Roo,001,Cozumel,1001,Daniel Gamboa,*
23,Quintana Roo,001,Cozumel,1002,Linda Vista,*
23,Quintana Roo,001,Cozumel,1006,Nojoch Suku'un,*
23,Quintana Roo,001,Cozumel,1008,El Pastorcito,*
23,Quintana Roo,001,Cozumel,1009,San Anselmo,*
23,Quintana Roo,001,Cozumel,1010,San Gervasio,*
23,Quintana Roo,001,Cozumel,1012,Sandoval,*
23,Quintana Roo,001,Cozumel,1014,Cozumel,0
23,Quintana Roo,001,Cozumel,1015,Villa Caracoles,*
23,Quintana Roo,001,Cozumel,1019,Villa Yak'alil [Kilómetro Doce Punto Cinco],*
23,Quintana Roo,001,Cozumel,1020,Las Uvas,*
23,Quintana Roo,001,Cozumel,1029,Campeche,*
23,Quintana Roo,001,Cozumel,1030,Arturo Pavía,*
23,Quintana Roo,001,Cozumel,1032,San Isidro,0
23,Quintana Roo,001,Cozumel,1033,San Miguel,*
23,Quintana Roo,001,Cozumel,1037,Las Glorias,0
23,Quintana Roo,001,Cozumel,1039,Palmar,*
23,Quintana Roo,001,Cozumel,1040,Residencial,*
23,Quintana Roo,001,Cozumel,1041,Salgado,*
23,Quintana Roo,001,Cozumel,1042,X-Kanha,*
23,Quintana Roo,001,Cozumel,1043,Kilómetro 3.5,*
23,Quintana Roo,001,Cozumel,1044,El Porvenir [Rancho],*
23,Quintana Roo,001,Cozumel,1045,Villas Cozumel,*
23,Quintana Roo,001,Cozumel,1046,Santa Rita,*
23,Quintana Roo,001,Cozumel,1047,Santa Teresa,0
23,Quintana Roo,001,Cozumel,1048,Cuatro Amores [Rancho],*
23,Quintana Roo,001,Cozumel,1049,Carlos Eduardo Gómez,0
23,Quintana Roo,001,Cozumel,1050,Tres Potros [Rancho],*
23,Quintana Roo,001,Cozumel,1051,César,*
23,Quintana Roo,001,Cozumel,1053,Almaluja,*
23,Quintana Roo,001,Cozumel,1055,Magdaleno Avilés,*
23,Quintana Roo,001,Cozumel,1056,San Benito,*
23,Quintana Roo,001,Cozumel,1057,Palmar Beach Club,*
23,Quintana Roo,001,Cozumel,1058,La Terquedad,*
23,Quintana Roo,001,Cozumel,1059,Ek Nah,*
23,Quintana Roo,001,Cozumel,1060,Ejido Cozumel,*
23,Quintana Roo,001,Cozumel,1061,Antonio Novelo,*
23,Quintana Roo,001,Cozumel,1062,Bugambilias,*
23,Quintana Roo,001,Cozumel,1063,Escondido [Rancho],*
23,Quintana Roo,001,Cozumel,1064,Martha,*
23,Quintana Roo,001,Cozumel,1067,Javier Novelo Buenfil,*
23,Quintana Roo,001,Cozumel,1068,Elder Portillo,*
23,Quintana Roo,001,Cozumel,9998,Localidades de una vivienda,6
23,Quintana Roo,001,Cozumel,9999,Localidades de dos viviendas,3
23,Quintana Roo,002,Felipe Carrillo Puerto,0000,Total del Municipio,2999
