ENTIDAD,NOM_ENT,MUN,NOM_MUN,LOC,NOM_LOC,P18A24A
25,Sinaloa,000,Total de la entidad Sinaloa,0000,Total de la Entidad,151323
25,Sinaloa,000,Total de la entidad Sinaloa,9998,Localidades de una vivienda,239
25,Sinaloa,000,Total de la entidad Sinaloa,9999,Localidades de dos viviendas,113
25,Sinaloa,001,Ahome,0000,Total del Municipio,24721
25,Sinaloa,001,Ahome,0001,Los Mochis,18301
25,Sinaloa,001,Ahome,0067,El Aguajito,86
25,Sinaloa,001,Ahome,0068,Agua Nueva,26
25,Sinaloa,001,Ahome,0070,Ahome,411
25,Sinaloa,001,Ahome,0072,Los Algodones,20
25,Sinaloa,001,Ahome,0076,El Añil,6
25,Sinaloa,001,Ahome,0080,Bacaporobampo,23
25,Sinaloa,001,Ahome,0081,Bacorehuis,57
25,Sinaloa,001,Ahome,0082,Bachomobampo Número Uno,37
25,Sinaloa,001,Ahome,0083,Bagojo Colectivo,212
25,Sinaloa,001,Ahome,0088,Ejido Benito Juárez,89
25,Sinaloa,001,Ahome,0090,San Isidro,76
25,Sinaloa,001,Ahome,0095,El Bule,23
25,Sinaloa,001,Ahome,0101,Las Lilas,*
25,Sinaloa,001,Ahome,0115,Cerrillos (Campo 35),91
25,Sinaloa,001,Ahome,0118,Cohuibampo,111
25,Sinaloa,001,Ahome,0119,El Colorado,59
25,Sinaloa,001,Ahome,0120,Compuertas,176
25,Sinaloa,001,Ahome,0122,Ejido Cuchilla de Cachoana,31
25,Sinaloa,001,Ahome,0125,La Chifleta,*
25,Sinaloa,001,Ahome,0126,Chihuahuita,64
25,Sinaloa,001,Ahome,0128,La Despensa,62
25,Sinaloa,001,Ahome,0129,Dieciocho de Marzo,22
25,Sinaloa,001,Ahome,0131,Dolores Hidalgo,21
25,Sinaloa,001,Ahome,0132,Emigdio Ruiz,17
25,Sinaloa,001,Ahome,0136,El Estero (Juan José Ríos),212
25,Sinaloa,001,Ahome,0138,Felipe Ángeles,60
25,Sinaloa,001,Ahome,0139,Flor Azul,66
25,Sinaloa,001,Ahome,0142,Gabriel Leyva Solano (Zapotillo Dos),48
25,Sinaloa,001,Ahome,0143,Guillermo Chávez Talamantes,105
25,Sinaloa,001,Ahome,0146,Goros Número Dos,65
25,Sinaloa,001,Ahome,0147,Goros Pueblo,28
25,Sinaloa,001,Ahome,0148,Las Grullas Margen Derecha,22
25,Sinaloa,001,Ahome,0149,Las Grullas Margen Izquierda,81
25,Sinaloa,001,Ahome,0150,Huacaporito,8
