ENTIDAD,NOM_ENT,MUN,NOM_MUN,LOC,NOM_LOC,P18A24A
26,Sonora,000,Total de la entidad Sonora,0000,Total de la Entidad,127769
26,Sonora,000,Total de la entidad Sonora,9998,Localidades de una vivienda,223
26,Sonora,000,Total de la entidad Sonora,9999,Localidades de dos viviendas,86
26,Sonora,001,Aconchi,0000,Total del Municipio,55
26,Sonora,001,Aconchi,0001,Aconchi,32
26,Sonora,001,Aconchi,0003,La Estancia,19
26,Sonora,001,Aconchi,0004,Maicobabi,*
26,Sonora,001,Aconchi,0006,El Rodeo (El Rodeo de Aconchi),0
26,Sonora,001,Aconchi,0007,San Pablo (San Pablo de Aconchi),4
26,Sonora,001,Aconchi,0035,La Loma,*
26,Sonora,001,Aconchi,0039,Establo López,*
26,Sonora,001,Aconchi,0040,La Misión,*
26,Sonora,001,Aconchi,9998,Localidades de una vivienda,0
26,Sonora,002,Agua Prieta,0000,Total del Municipio,3224
26,Sonora,002,Agua Prieta,0001,Agua Prieta,3215
26,Sonora,002,Agua Prieta,0002,Agua Blanca,0
26,Sonora,002,Agua Prieta,0008,La Cabellera,*
26,Sonora,002,Agua Prieta,0009,Cabullona,0
26,Sonora,002,Agua Prieta,0013,Colonia Morelos,0
26,Sonora,002,Agua Prieta,0015,18 de Agosto (Corral de Palos),0
26,Sonora,002,Agua Prieta,0016,Cuchuverachi,*
26,Sonora,002,Agua Prieta,0022,Rancho Gallardo,*
26,Sonora,002,Agua Prieta,0024,El Hucaral,*
26,Sonora,002,Agua Prieta,0034,El Ojito,*
26,Sonora,002,Agua Prieta,0036,Las Eloísas (El Papalote),*
26,Sonora,002,Agua Prieta,0040,El Porvenir,*
26,Sonora,002,Agua Prieta,0041,El Pozo (San Juan),*
26,Sonora,002,Agua Prieta,0046,El Rusbayo,1
26,Sonora,002,Agua Prieta,0050,Colonia Seca,*
26,Sonora,002,Agua Prieta,0055,Ramón Oquita Montenegro (La Cieneguita),0
26,Sonora,002,Agua Prieta,0056,Enrique Amador Camacho,*
26,Sonora,002,Agua Prieta,0062,Benito Domínguez Ballesteros,*
26,Sonora,002,Agua Prieta,0066,Las Cenizas,*
26,Sonora,002,Agua Prieta,0083,Rancho Nuevo,*
26,Sonora,002,Agua Prieta,0087,El Alamito,*
26,Sonora,002,Agua Prieta,0102,David Muñoz Orona,*
26,Sonora,002,Agua Prieta,0108,Molino Quemado,*
26,Sonora,002,Agua Prieta,0125,La Piedra,*
26,Sonora,002,Agua Prieta,0132,El Potrero Seco,*
26,Sonora,002,Agua Prieta,0134,El Lobo,*
26,Sonora,002,Agua Prieta,0135,Puerto San Luis (Restaurante),*
26,Sonora,002,Agua Prieta,0149,El Nogalito,*
26,Sonora,002,Agua Prieta,0155,La Malia,*
26,Sonora,002,Agua Prieta,0160,Campo Verde,*
26,Sonora,002,Agua Prieta,0163,Las Agujas,*
26,Sonora,002,Agua Prieta,0185,Los Chinos,0
26,Sonora,002,Agua Prieta,0187,El Bajío [Club de Tiro],*
26,Sonora,002,Agua Prieta,0189,San Antonio,*
26,Sonora,002,Agua Prieta,0193,El Cúmaro,*
26,Sonora,002,Agua Prieta,0198,Ninguno [Francisco Adarga Yáñez],*
26,Sonora,002,Agua Prieta,0200,Los Fresnales,*
26,Sonora,002,Agua Prieta,0202,Fundación Brazos de Amor,*
26,Sonora,002,Agua Prieta,0204,La Herradura,*
26,Sonora,002,Agua Prieta,0205,Jorge Nicolás Barra,*
26,Sonora,002,Agua Prieta,0213,Ninguno,*
26,Sonora,002,Agua Prieta,0221,Yunke Nolos,*
26,Sonora,002,Agua Prieta,0231,El Mojón,*
26,Sonora,002,Agua Prieta,0234,Adolfo Ortíz,*
26,Sonora,002,Agua Prieta,0236,Benito Gámez Nuñez,*
26,Sonora,002,Agua Prieta,0238,Fernando Ramírez,*
26,Sonora,002,Agua Prieta,0239,Francisco Ramírez,*
26,Sonora,002,Agua Prieta,0241,Herlinda Celaya Ibarra,*
26,Sonora,002,Agua Prieta,0242,Jesús Moreno,*
26,Sonora,002,Agua Prieta,0243,Juan Félix Mejía,*
26,Sonora,002,Agua Prieta,0244,Crimilda Gómez Montaño,*
26,Sonora,002,Agua Prieta,0245,Alberto Gracía Grijalva,*
26,Sonora,002,Agua Prieta,0246,Julia León Molina,*
26,Sonora,002,Agua Prieta,0247,Ricardo Cornídez,*
26,Sonora,002,Agua Prieta,0254,El Pozo,0
26,Sonora,002,Agua Prieta,0255,La Puerta Negra,0
26,Sonora,002,Agua Prieta,0261,La Lechuza,*
26,Sonora,002,Agua Prieta,0271,Las Isabeles,*
26,Sonora,002,Agua Prieta,0273,Raúl Ortega Morales,*
26,Sonora,002,Agua Prieta,0274,Petra de Ozorni,*
26,Sonora,002,Agua Prieta,0280,El Sauce,*
26,Sonora,002,Agua Prieta,0284,Armando Gámez,*
26,Sonora,002,Agua Prieta,0293,Jaime Acedo,*
26,Sonora,002,Agua Prieta,0296,Ricardo Dórame Madrid (Kilómetro Trece),*
26,Sonora,002,Agua Prieta,0313,El Mirador,*
26,Sonora,002,Agua Prieta,0314,Ganadera Flores Moreno,*
26,Sonora,002,Agua Prieta,0317,Manuel Valdez Valdez,*
26,Sonora,002,Agua Prieta,0321,Nicolás González,*
26,Sonora,002,Agua Prieta,0323,El Greco,*
