ENTIDAD,NOM_ENT,MUN,NOM_MUN,LOC,NOM_LOC,P18A24A
28,Tamaulipas,000,Total de la entidad Tamaulipas,0000,Total de la Entidad,138110
28,Tamaulipas,000,Total de la entidad Tamaulipas,9998,Localidades de una vivienda,128
28,Tamaulipas,000,Total de la entidad Tamaulipas,9999,Localidades de dos viviendas,46
28,Tamaulipas,001,Abasolo,0000,Total del Municipio,187
28,Tamaulipas,001,Abasolo,0001,Abasolo,115
28,Tamaulipas,001,Abasolo,0002,Abasolo (Abasolito),1
28,Tamaulipas,001,Abasolo,0003,Nuevo Morelos (Adolfo López Mateos),9
28,Tamaulipas,001,Abasolo,0014,El Contadero,*
28,Tamaulipas,001,Abasolo,0019,Guía del Porvenir,6
28,Tamaulipas,001,Abasolo,0024,El Nogalito Uno,*
28,Tamaulipas,001,Abasolo,0033,Santa Cruz de Miranda,*
28,Tamaulipas,001,Abasolo,0040,Santa Teresa (Tres Marías),*
28,Tamaulipas,001,Abasolo,0042,La Unión,*
28,Tamaulipas,001,Abasolo,0067,Valle del Venado (Rodolfo Hernández Rangel),*
28,Tamaulipas,001,Abasolo,0072,El Colorín (Tierras Coloradas),*
28,Tamaulipas,001,Abasolo,0085,El Huajuco (El Círculo),*
28,Tamaulipas,001,Abasolo,0104,Nicolás Bravo (Palo Alto),15
28,Tamaulipas,001,Abasolo,0110,Delicias,0
28,Tamaulipas,001,Abasolo,0111,Guadalupe Victoria,31
28,Tamaulipas,001,Abasolo,0112,El Herradero (La Gota),*
28,Tamaulipas,001,Abasolo,0121,Las Coloradas,*
28,Tamaulipas,001,Abasolo,0130,El Amigo,*
28,Tamaulipas,001,Abasolo,0131,Tres Horas,*
28,Tamaulipas,001,Abasolo,0140,Santa Eva,*
28,Tamaulipas,001,Abasolo,0165,Los Lerma,*
28,Tamaulipas,001,Abasolo,0192,Unidos Venceremos (Félix Martínez Reyes),0
28,Tamaulipas,001,Abasolo,0207,El Paraíso,*
28,Tamaulipas,001,Abasolo,0208,Sociedad Valle del Tigre,*
28,Tamaulipas,001,Abasolo,0210,Milpa del Valle (Eladio Elizondo),*
28,Tamaulipas,001,Abasolo,0211,La Huastequilla,*
28,Tamaulipas,001,Abasolo,0224,Jesús Ramírez,1
28,Tamaulipas,001,Abasolo,0225,Modelo,5
28,Tamaulipas,001,Abasolo,0231,General Gildardo Magaña,0
28,Tamaulipas,001,Abasolo,0232,Parras de la Fuente,0
28,Tamaulipas,001,Abasolo,0253,Úrsulo Galván,1
28,Tamaulipas,001,Abasolo,0258,El Ebanito,*
28,Tamaulipas,001,Abasolo,0282,Las Comas,*
28,Tamaulipas,001,Abasolo,0285,Los Luna,*
28,Tamaulipas,001,Abasolo,0286,Amelia Cabrera Castillo,*
28,Tamaulipas,001,Abasolo,0292,El Santuario,*
28,Tamaulipas,001,Abasolo,0301,Batalla del 5 de Mayo (Jesús Hernández Olivares),*
28,Tamaulipas,001,Abasolo,0302,Batalla del 5 de Mayo (Genoveva Hernández Villanueva),*
28,Tamaulipas,001,Abasolo,0304,Kajuma (Oscar Saldaña),*
28,Tamaulipas,001,Abasolo,0305,El Saucito,*
28,Tamaulipas,001,Abasolo,0309,El Tocayo,*
28,Tamaulipas,001,Abasolo,9998,Localidades de una vivienda,3
28,Tamaulipas,001,Abasolo,9999,Localidades de dos viviendas,0
28,Tamaulipas,002,Aldama,0000,Total del Municipio,621
28,Tamaulipas,002,Aldama,0001,Aldama,415
28,Tamaulipas,002,Aldama,0003,El Olivo (El Ademe),3
28,Tamaulipas,002,Aldama,0004,Cuestecitas,*
28,Tamaulipas,002,Aldama,0005,El Aguacate,*
28,Tamaulipas,002,Aldama,0007,El Aguacate,*
28,Tamaulipas,002,Aldama,0008,Agua Marina,*
28,Tamaulipas,002,Aldama,0011,Las Alazanas,1
28,Tamaulipas,002,Aldama,0013,El Carrizal (Carrera Torres),0
28,Tamaulipas,002,Aldama,0015,Los Ángeles,1
28,Tamaulipas,002,Aldama,0019,La Azufrosa (El Higuerón),3
28,Tamaulipas,002,Aldama,0021,Barra del Tordo,14
28,Tamaulipas,002,Aldama,0022,El Barranco,4
28,Tamaulipas,002,Aldama,0026,Bella Vista,*
28,Tamaulipas,002,Aldama,0027,El Borrego,*
28,Tamaulipas,002,Aldama,0030,Buenavista,0
28,Tamaulipas,002,Aldama,0034,La Cabecera,4
28,Tamaulipas,002,Aldama,0041,El Cañón,*
28,Tamaulipas,002,Aldama,0042,El Jobo,0
28,Tamaulipas,002,Aldama,0043,El Caracol,*
28,Tamaulipas,002,Aldama,0047,Las Cármenes (Las Carmelitas),*
28,Tamaulipas,002,Aldama,0049,El Carrizal Primero,3
28,Tamaulipas,002,Aldama,0050,El Carrizal Segundo,5
28,Tamaulipas,002,Aldama,0052,El Carrizo de Opichán,3
28,Tamaulipas,002,Aldama,0059,La Colmena,2
28,Tamaulipas,002,Aldama,0063,Las Comas,*
28,Tamaulipas,002,Aldama,0067,El Cortijo,*
28,Tamaulipas,002,Aldama,0073,Cuestecitas,0
28,Tamaulipas,002,Aldama,0076,La Guadalupana (La Chaquita),*
28,Tamaulipas,002,Aldama,0077,El Chijolito,0
28,Tamaulipas,002,Aldama,0081,Los Rincones (Dos de Abril),*
28,Tamaulipas,002,Aldama,0085,La Esperanza,1
28,Tamaulipas,002,Aldama,0093,Las Flores,*
28,Tamaulipas,002,Aldama,0095,La Florida,0
28,Tamaulipas,002,Aldama,0097,Francisco I. Madero,6
28,Tamaulipas,002,Aldama,0099,El Gavilán,0
28,Tamaulipas,002,Aldama,0100,El Gavilán Dos,*
28,Tamaulipas,002,Aldama,0107,La Laguna (Guadalupe Victoria),0
28,Tamaulipas,002,Aldama,0109,Higinio Tanguma,13
28,Tamaulipas,002,Aldama,0111,El Higuerón,0
28,Tamaulipas,002,Aldama,0112,El Huasteco,*
28,Tamaulipas,002,Aldama,0113,La Poderosa,*
28,Tamaulipas,002,Aldama,0116,Jarcias,0
28,Tamaulipas,002,Aldama,0117,El Jicotillo (El Sombrerito),0
28,Tamaulipas,002,Aldama,0119,Las Joyas,*
28,Tamaulipas,002,Aldama,0120,Juan Tomás,*
28,Tamaulipas,002,Aldama,0123,Las Lajas (Lajitas),0
28,Tamaulipas,002,Aldama,0124,El Aventurero,*
28,Tamaulipas,002,Aldama,0127,El Lindero,0
28,Tamaulipas,002,Aldama,0128,El Lucero,7
28,Tamaulipas,002,Aldama,0132,Mar de Nubes,*
28,Tamaulipas,002,Aldama,0136,San Miguel,*
28,Tamaulipas,002,Aldama,0138,El Mirador,*
28,Tamaulipas,002,Aldama,0141,La Misión,*
28,Tamaulipas,002,Aldama,0143,Rancho Alegre (Los Moranes),0
28,Tamaulipas,002,Aldama,0144,La Morena,0
28,Tamaulipas,002,Aldama,0146,Morón,13
28,Tamaulipas,002,Aldama,0147,La Muralla,4
28,Tamaulipas,002,Aldama,0148,El Nacimiento,0
28,Tamaulipas,002,Aldama,0151,Nuevo Progreso (La Gaviota),8
28,Tamaulipas,002,Aldama,0152,Ojo de Agua,*
28,Tamaulipas,002,Aldama,0153,Ojo de Agua,*
28,Tamaulipas,002,Aldama,0154,El Plomo,0
28,Tamaulipas,002,Aldama,0155,El Olivo,0
28,Tamaulipas,002,Aldama,0159,El Palmoso,0
28,Tamaulipas,002,Aldama,0160,Las Palomas,*
28,Tamaulipas,002,Aldama,0162,La Papaya,0
28,Tamaulipas,002,Aldama,0163,Paso Hondo,3
28,Tamaulipas,002,Aldama,0164,Pedernales,0
28,Tamaulipas,002,Aldama,0168,Piedras Negras,1
28,Tamaulipas,002,Aldama,0171,El Porvenir,0
28,Tamaulipas,002,Aldama,0175,La Providencia,0
28,Tamaulipas,002,Aldama,0178,La Puerta,0
28,Tamaulipas,002,Aldama,0180,Rancho de Piedra,1
28,Tamaulipas,002,Aldama,0181,Rancho Nuevo,1
28,Tamaulipas,002,Aldama,0183,Real de Alamitos,0
28,Tamaulipas,002,Aldama,0184,El Real Viejo,1
28,Tamaulipas,002,Aldama,0191,El Rosario,*
28,Tamaulipas,002,Aldama,0195,El Sabino Gordo,0
28,Tamaulipas,002,Aldama,0197,El Salto,*
28,Tamaulipas,002,Aldama,0199,San Antonio,*
28,Tamaulipas,002,Aldama,0202,San Esteban,3
28,Tamaulipas,002,Aldama,0204,San Francisco,*
28,Tamaulipas,002,Aldama,0206,San Isidro,*
28,Tamaulipas,002,Aldama,0215,San Rafael,3
28,Tamaulipas,002,Aldama,0218,Santa Elena,*
28,Tamaulipas,002,Aldama,0219,Santa Emilia,*
28,Tamaulipas,002,Aldama,0220,Santa Fe,*
28,Tamaulipas,002,Aldama,0222,Santa Isabel,0
28,Tamaulipas,002,Aldama,0223,Nuevo Amanecer (Los Encinos),2
28,Tamaulipas,002,Aldama,0224,Santa Julia (Rancho del Cura),1
28,Tamaulipas,002,Aldama,0226,Santa María,0
28,Tamaulipas,002,Aldama,0229,Santa Rosa,*
28,Tamaulipas,002,Aldama,0231,San Vicente,0
28,Tamaulipas,002,Aldama,0232,El Sombrerito,2
28,Tamaulipas,002,Aldama,0240,Torrecitas,1
28,Tamaulipas,002,Aldama,0241,Guadalupe Victoria (Tres Piedras),1
28,Tamaulipas,002,Aldama,0244,El Vidal,1
28,Tamaulipas,002,Aldama,0245,Las Yucas,2
28,Tamaulipas,002,Aldama,0247,Zanapam,0
28,Tamaulipas,002,Aldama,0248,El Zanapeño (R-28),*
28,Tamaulipas,002,Aldama,0249,Lauro Aguirre (El Zapotal),0
28,Tamaulipas,002,Aldama,0251,Laguna Verde,0
28,Tamaulipas,002,Aldama,0252,Benito Juárez (Las Coloradas),4
28,Tamaulipas,002,Aldama,0256,El Pichijumo,0
28,Tamaulipas,002,Aldama,0257,El Patito,*
28,Tamaulipas,002,Aldama,0261,Alto del Chino,1
28,Tamaulipas,002,Aldama,0263,El Hallazgo,0
28,Tamaulipas,002,Aldama,0265,El Presidente [Kilómetro 80],*
28,Tamaulipas,002,Aldama,0268,Las Isabeles,1
28,Tamaulipas,002,Aldama,0271,Santa Patricia,*
28,Tamaulipas,002,Aldama,0275,Las Brisas,*
28,Tamaulipas,002,Aldama,0280,Los Leones,*
28,Tamaulipas,002,Aldama,0281,Agua Zarca,*
28,Tamaulipas,002,Aldama,0282,Santa Teresa,0
28,Tamaulipas,002,Aldama,0283,San Vicente,*
28,Tamaulipas,002,Aldama,0284,Gran Caimán,*
28,Tamaulipas,002,Aldama,0293,El Colmillo,*
28,Tamaulipas,002,Aldama,0296,Las Carboneras,*
28,Tamaulipas,002,Aldama,0304,El Olmo,0
28,Tamaulipas,002,Aldama,0306,La Pasión,*
28,Tamaulipas,002,Aldama,0307,Las Nubes,*
28,Tamaulipas,002,Aldama,0309,El Bejarano,*
28,Tamaulipas,002,Aldama,0310,Barra la Coma [Campo Tortuguero],*
28,Tamaulipas,002,Aldama,0312,La Isca,*
28,Tamaulipas,002,Aldama,0318,El Manantial,*
28,Tamaulipas,002,Aldama,0326,El Rincón (Lagunetas),*
28,Tamaulipas,002,Aldama,0328,El Papalote,0
28,Tamaulipas,002,Aldama,0329,Santa Rita,*
28,Tamaulipas,002,Aldama,0330,Francisco Villa (Pancho Villa),4
28,Tamaulipas,002,Aldama,0332,El Coronel,*
28,Tamaulipas,002,Aldama,0333,Los Jagüeyes,*
28,Tamaulipas,002,Aldama,0342,Los Castilleja (La Culata),*
28,Tamaulipas,002,Aldama,0343,Santa Viviana,*
28,Tamaulipas,002,Aldama,0346,Los Miles,*
28,Tamaulipas,002,Aldama,0349,El Guaparrón,*
28,Tamaulipas,002,Aldama,0351,Quinta Mayra (El Tordo),*
28,Tamaulipas,002,Aldama,0352,Galeras,0
28,Tamaulipas,002,Aldama,0355,El Cuervo,*
28,Tamaulipas,002,Aldama,0359,Palo Santo,1
28,Tamaulipas,002,Aldama,0361,El Paraíso,*
28,Tamaulipas,002,Aldama,0367,Paraíso Tortugas,0
28,Tamaulipas,002,Aldama,0370,Antonio Villarreal,5
28,Tamaulipas,002,Aldama,0371,Horacio Terán,1
28,Tamaulipas,002,Aldama,0374,El Ronco,*
28,Tamaulipas,002,Aldama,0379,Los Colorados,0
28,Tamaulipas,002,Aldama,0384,La Pasadita,3
28,Tamaulipas,002,Aldama,0386,El Barranqueño,*
28,Tamaulipas,002,Aldama,0388,Cinco de Febrero,9
28,Tamaulipas,002,Aldama,0389,El Pulmón,*
28,Tamaulipas,002,Aldama,0398,Los Leones,*
28,Tamaulipas,002,Aldama,0399,La Garrapata,*
28,Tamaulipas,002,Aldama,0402,El Rosillo,*
28,Tamaulipas,002,Aldama,0405,El Tigre,*
28,Tamaulipas,002,Aldama,0410,El Paisajito,3
28,Tamaulipas,002,Aldama,0411,Ramón Corona,3
28,Tamaulipas,002,Aldama,0412,Revolución,1
28,Tamaulipas,002,Aldama,0413,Mariano Matamoros Dos,4
28,Tamaulipas,002,Aldama,0415,Las Noritas,*
28,Tamaulipas,002,Aldama,0417,Los Halcones,*
28,Tamaulipas,002,Aldama,0419,El Tirón,*
28,Tamaulipas,002,Aldama,0421,El Cascabel,*
28,Tamaulipas,002,Aldama,0424,El Último Tirón,0
28,Tamaulipas,002,Aldama,0428,Poza de Granadillas,2
28,Tamaulipas,002,Aldama,0429,Adolfo López Mateos (Jaramillo),10
28,Tamaulipas,002,Aldama,0431,El Estero,*
28,Tamaulipas,002,Aldama,0432,Arestines,0
28,Tamaulipas,002,Aldama,0439,El Apuro,*
28,Tamaulipas,002,Aldama,0440,La Costa,1
28,Tamaulipas,002,Aldama,0441,La Manga,*
28,Tamaulipas,002,Aldama,0442,El Águila,*
28,Tamaulipas,002,Aldama,0443,Villa Cariño,*
28,Tamaulipas,002,Aldama,0447,San Felipe,0
28,Tamaulipas,002,Aldama,0449,Las Flores,4
28,Tamaulipas,002,Aldama,0452,Los Planes,*
28,Tamaulipas,002,Aldama,0462,La Coma (Puerta la Coma),0
28,Tamaulipas,002,Aldama,0470,El Negro,*
28,Tamaulipas,002,Aldama,0471,Agua Zarca,0
28,Tamaulipas,002,Aldama,0473,El Alegre,*
28,Tamaulipas,002,Aldama,0475,El Alto,*
28,Tamaulipas,002,Aldama,0478,El Rosal,1
28,Tamaulipas,002,Aldama,0480,Benito Juárez (La Negrita),0
28,Tamaulipas,002,Aldama,0481,Bledos,0
28,Tamaulipas,002,Aldama,0482,Los Caballos,0
28,Tamaulipas,002,Aldama,0484,Cachimbas,*
28,Tamaulipas,002,Aldama,0485,El Paraíso (Carricitos),*
28,Tamaulipas,002,Aldama,0489,Los Jaguares,*
28,Tamaulipas,002,Aldama,0492,El Cubilete,*
28,Tamaulipas,002,Aldama,0493,El Cuero,*
28,Tamaulipas,002,Aldama,0494,El Divisadero,*
28,Tamaulipas,002,Aldama,0496,El Cuete,*
28,Tamaulipas,002,Aldama,0499,El Encanto,*
28,Tamaulipas,002,Aldama,0502,La Esperanza (Quintanilla),*
28,Tamaulipas,002,Aldama,0508,Guadalupe (Santa Juana),*
28,Tamaulipas,002,Aldama,0509,El Pujido,*
28,Tamaulipas,002,Aldama,0514,La Morita,*
28,Tamaulipas,002,Aldama,0517,El Ojite,10
28,Tamaulipas,002,Aldama,0522,Paso de la Sal,*
28,Tamaulipas,002,Aldama,0523,La Pagua,*
28,Tamaulipas,002,Aldama,0524,El Pedregoso [La Bloquera],0
28,Tamaulipas,002,Aldama,0529,Los Pitabiles,*
28,Tamaulipas,002,Aldama,0536,Los Ciros (El Recodo),0
28,Tamaulipas,002,Aldama,0537,El Retorno,*
28,Tamaulipas,002,Aldama,0539,San Juan de Ulúa,*
28,Tamaulipas,002,Aldama,0541,San Juan (San Juanito),0
28,Tamaulipas,002,Aldama,0542,Palo Verde (Santa Emilia),*
28,Tamaulipas,002,Aldama,0543,Eunice,*
28,Tamaulipas,002,Aldama,0545,Santa María (La Puerta),0
28,Tamaulipas,002,Aldama,0546,San Cristóbal (Doble L),0
28,Tamaulipas,002,Aldama,0547,Tauros,*
28,Tamaulipas,002,Aldama,0548,Tierras Coloradas,1
28,Tamaulipas,002,Aldama,0549,Los Tigres (San Bartolo),*
28,Tamaulipas,002,Aldama,0550,Rancho Ramos (Los Toribios),*
28,Tamaulipas,002,Aldama,0551,El Camino de la Cruz (El Tranquilo),*
28,Tamaulipas,002,Aldama,0552,El Trébol (La Sequía),*
28,Tamaulipas,002,Aldama,0554,Triple A,*
28,Tamaulipas,002,Aldama,0556,Los Orejones,*
28,Tamaulipas,002,Aldama,0558,Las Yucas,*
28,Tamaulipas,002,Aldama,0564,Santa María,*
28,Tamaulipas,002,Aldama,0567,San Guillermo,*
28,Tamaulipas,002,Aldama,0569,El Cascabel,*
28,Tamaulipas,002,Aldama,0570,La Sequía (Aldama),*
28,Tamaulipas,002,Aldama,0573,Quinta Estrella,1
28,Tamaulipas,002,Aldama,0574,San José (El Tordo),*
28,Tamaulipas,002,Aldama,0578,Veinte de Febrero,0
28,Tamaulipas,002,Aldama,0579,Emiliano Zapata,*
28,Tamaulipas,002,Aldama,0582,Los Dorados,*
28,Tamaulipas,002,Aldama,0587,San Quintín,*
28,Tamaulipas,002,Aldama,0589,El Cuarenta y Cuatro,0
28,Tamaulipas,002,Aldama,0591,Safalma,*
28,Tamaulipas,002,Aldama,0592,Los Tavos,*
28,Tamaulipas,002,Aldama,0599,El Rayo,1
28,Tamaulipas,002,Aldama,0600,El Seis Quince (El Sacrificio),*
28,Tamaulipas,002,Aldama,0601,Punta Jerez,*
28,Tamaulipas,002,Aldama,0604,La Campana,0
28,Tamaulipas,002,Aldama,0606,San José (Don Nieves),*
28,Tamaulipas,002,Aldama,0611,El Huapango,*
28,Tamaulipas,002,Aldama,0614,Diez de Octubre,0
28,Tamaulipas,002,Aldama,0615,Nombre de Dios,*
28,Tamaulipas,002,Aldama,0617,Los Ángeles,*
