ENTIDAD,NOM_ENT,MUN,NOM_MUN,LOC,NOM_LOC,P18A24A
29,Tlaxcala,000,Total de la entidad Tlaxcala,0000,Total de la Entidad,53377
29,Tlaxcala,000,Total de la entidad Tlaxcala,9998,Localidades de una vivienda,25
29,Tlaxcala,000,Total de la entidad Tlaxcala,9999,Localidades de dos viviendas,12
29,Tlaxcala,001,Amaxac de Guerrero,0000,Total del Municipio,567
29,Tlaxcala,001,Amaxac de Guerrero,0001,Amaxac de Guerrero,541
29,Tlaxcala,001,Amaxac de Guerrero,0002,San Damián Tlacocalpan,26
29,Tlaxcala,001,Amaxac de Guerrero,0012,La Preciosa [Rancho],*
29,Tlaxcala,001,Amaxac de Guerrero,0013,Amintla,*
29,Tlaxcala,001,Amaxac de Guerrero,9998,Localidades de una vivienda,*
29,Tlaxcala,001,Amaxac de Guerrero,9999,Localidades de dos viviendas,*
29,Tlaxcala,002,Apetatitlán de Antonio Carvajal,0000,Total del Municipio,830
29,Tlaxcala,002,Apetatitlán de Antonio Carvajal,0001,Apetatitlán,220
29,Tlaxcala,002,Apetatitlán de Antonio Carvajal,0002,Belén Atzitzimititlán,208
29,Tlaxcala,002,Apetatitlán de Antonio Carvajal,0003,San Matías Tepetomatitlán,155
29,Tlaxcala,002,Apetatitlán de Antonio Carvajal,0004,Tecolotla,48
29,Tlaxcala,002,Apetatitlán de Antonio Carvajal,0005,Tlatempan,181
29,Tlaxcala,002,Apetatitlán de Antonio Carvajal,0006,La Loma [Colonia],18
29,Tlaxcala,003,Atlangatepec,0000,Total del Municipio,169
29,Tlaxcala,003,Atlangatepec,0001,Atlangatepec,16
29,Tlaxcala,003,Atlangatepec,0004,Segunda Fracción de Olivares,*
29,Tlaxcala,003,Atlangatepec,0006,Ex-Hacienda San José Atlanga,*
29,Tlaxcala,003,Atlangatepec,0007,Colonia Agrícola San Luis,4
29,Tlaxcala,003,Atlangatepec,0008,San Pedro Ecatepec,42
29,Tlaxcala,003,Atlangatepec,0010,Santa Clara Ozumba,5
29,Tlaxcala,003,Atlangatepec,0011,Santa María Tepetzala,1
29,Tlaxcala,003,Atlangatepec,0012,San José de Santa Rosa Zacapexco,1
29,Tlaxcala,003,Atlangatepec,0013,Ex-Hacienda San Antonio Tepetzala,*
29,Tlaxcala,003,Atlangatepec,0014,Colonia Benito Juárez (Tezoyo),15
29,Tlaxcala,003,Atlangatepec,0017,La Trasquila,12
29,Tlaxcala,003,Atlangatepec,0018,Santiago Villalta,11
29,Tlaxcala,003,Atlangatepec,0019,Vista Hermosa,0
29,Tlaxcala,003,Atlangatepec,0022,Zumpango,40
29,Tlaxcala,003,Atlangatepec,0025,La Cañada,*
29,Tlaxcala,003,Atlangatepec,0026,Cerro de las Flores,0
29,Tlaxcala,003,Atlangatepec,0027,Ex-Hacienda la Trasquila,0
29,Tlaxcala,003,Atlangatepec,0028,El Ocotal,*
29,Tlaxcala,003,Atlangatepec,0029,Santa Elena,1
29,Tlaxcala,003,Atlangatepec,0031,Villa de las Flores,3
29,Tlaxcala,003,Atlangatepec,0032,Colonia Loma Bonita,13
29,Tlaxcala,003,Atlangatepec,0033,Rancho Jericó,*
29,Tlaxcala,003,Atlangatepec,0034,Guadiana [Rancho],*
29,Tlaxcala,003,Atlangatepec,0035,San Antonio Zacapexco,*
29,Tlaxcala,003,Atlangatepec,0036,Xuxtepec,*
29,Tlaxcala,003,Atlangatepec,0037,La Flor [Rancho],*
29,Tlaxcala,003,Atlangatepec,0038,El Fuerte Apache [Centro Turístico],*
29,Tlaxcala,003,Atlangatepec,0040,Cuarta Fracción de Olivares,*
29,Tlaxcala,003,Atlangatepec,0041,La Cuchilla (El Alcanfor),1
29,Tlaxcala,003,Atlangatepec,0042,Fracción San Pedro Ecatepec,*
29,Tlaxcala,003,Atlangatepec,0046,Mauro Vázquez,*
29,Tlaxcala,003,Atlangatepec,0048,Villa Quinta Olivares [Centro Vacacional],*
29,Tlaxcala,003,Atlangatepec,0049,Rancho Xalnene,1
29,Tlaxcala,003,Atlangatepec,0053,Los Patos [Rancho],*
29,Tlaxcala,003,Atlangatepec,0056,Tepitzilapa,*
29,Tlaxcala,003,Atlangatepec,0057,Tercera Fracción de Olivares,*
29,Tlaxcala,003,Atlangatepec,0060,La Loma (El Cerrito),1
29,Tlaxcala,003,Atlangatepec,0064,La Cañada [Rancho],0
29,Tlaxcala,003,Atlangatepec,0065,El Catorce,*
29,Tlaxcala,003,Atlangatepec,0074,El Ocote,*
29,Tlaxcala,003,Atlangatepec,0080,El Encino [Rancho],*
29,Tlaxcala,003,Atlangatepec,0082,El Potrero [Rancho],0
29,Tlaxcala,003,Atlangatepec,0083,La Palma,1
