ENTIDAD,NOM_ENT,MUN,NOM_MUN,LOC,NOM_LOC,P18A24A
32,Zacatecas,000,Total de la entidad Zacatecas,0000,Total de la Entidad,59916
32,Zacatecas,000,Total de la entidad Zacatecas,9998,Localidades de una vivienda,125
32,Zacatecas,000,Total de la entidad Zacatecas,9999,Localidades de dos viviendas,53
32,Zacatecas,001,Apozol,0000,Total del Municipio,171
32,Zacatecas,001,Apozol,0001,Apozol,92
32,Zacatecas,001,Apozol,0002,Achoquen,0
32,Zacatecas,001,Apozol,0006,Rancho de Ayo,0
32,Zacatecas,001,Apozol,0007,Banco de Piedra,*
32,Zacatecas,001,Apozol,0012,La Calera,0
32,Zacatecas,001,Apozol,0013,La Campana,*
32,Zacatecas,001,Apozol,0014,El Capulincito,0
32,Zacatecas,001,Apozol,0016,Cerro Alto (Rancho de la Soledad),*
32,Zacatecas,001,Apozol,0017,Colonia Juárez,0
32,Zacatecas,001,Apozol,0021,Chihuila Dos,*
32,Zacatecas,001,Apozol,0022,Las Chivas,*
32,Zacatecas,001,Apozol,0024,Colonia Francisco I. Madero,2
32,Zacatecas,001,Apozol,0025,El Guamúchil,*
32,Zacatecas,001,Apozol,0028,La Joya,0
32,Zacatecas,001,Apozol,0030,Los Llamas (San Isidro),12
32,Zacatecas,001,Apozol,0031,Llano del Burro,*
32,Zacatecas,001,Apozol,0034,Media Luna,0
32,Zacatecas,001,Apozol,0035,El Mezquite,*
32,Zacatecas,001,Apozol,0037,Palma Cuata,1
32,Zacatecas,001,Apozol,0038,Piedra Tajada,0
32,Zacatecas,001,Apozol,0039,Pila Honda,*
32,Zacatecas,001,Apozol,0040,Las Pilas,1
32,Zacatecas,001,Apozol,0042,La Puerta Blanca,0
32,Zacatecas,001,Apozol,0043,La Purísima,8
32,Zacatecas,001,Apozol,0046,Benito Juárez (El Rescoldo),14
32,Zacatecas,001,Apozol,0051,San Miguel (Atotonilco),14
32,Zacatecas,001,Apozol,0052,San Nicolás,0
32,Zacatecas,001,Apozol,0053,Sauz de los González,1
32,Zacatecas,001,Apozol,0056,El Tule,6
32,Zacatecas,001,Apozol,0058,Hierbabuena,*
32,Zacatecas,001,Apozol,0061,Los Alisos,*
32,Zacatecas,001,Apozol,0075,Mesa de Huerta,*
32,Zacatecas,001,Apozol,0081,Peña de Tres Colores,*
32,Zacatecas,001,Apozol,0083,Rancho Viejo,*
32,Zacatecas,001,Apozol,0090,La Tiricia,15
32,Zacatecas,001,Apozol,0093,Atarjea del Ocotito,*
32,Zacatecas,001,Apozol,0094,La Haciendita,*
32,Zacatecas,001,Apozol,0095,El Llano,0
32,Zacatecas,001,Apozol,0097,Palo Herrado,*
32,Zacatecas,001,Apozol,0102,Tecongo,*
32,Zacatecas,001,Apozol,0121,La Mesa de Baraja,*
32,Zacatecas,001,Apozol,0122,La Saucera,*
32,Zacatecas,001,Apozol,0124,La Labor,1
32,Zacatecas,001,Apozol,0125,El Paraíso [Rancho],*
32,Zacatecas,001,Apozol,0126,La Mesa,*
32,Zacatecas,001,Apozol,0127,El Coco [Fraccionamiento],*
32,Zacatecas,001,Apozol,0130,Padilla (La Nopalera) [Rancho],*
32,Zacatecas,001,Apozol,0131,La Caballería,2
32,Zacatecas,001,Apozol,0132,San Rafael [Rancho],*
32,Zacatecas,001,Apozol,9998,Localidades de una vivienda,2
32,Zacatecas,001,Apozol,9999,Localidades de dos viviendas,0
32,Zacatecas,002,Apulco,0000,Total del Municipio,61
32,Zacatecas,002,Apulco,0001,Apulco,28
32,Zacatecas,002,Apulco,0002,Agua Blanca,0
32,Zacatecas,002,Apulco,0004,Rancho Apulco,2
32,Zacatecas,002,Apulco,0005,Arroyo Hondo de Arriba,1
32,Zacatecas,002,Apulco,0006,Carrillos (Los Carrillos),0
32,Zacatecas,002,Apulco,0007,Casas Coloradas,*
32,Zacatecas,002,Apulco,0008,El Conejo,0
32,Zacatecas,002,Apulco,0009,La Chaveña,2
32,Zacatecas,002,Apulco,0012,Huegolita,3
32,Zacatecas,002,Apulco,0013,Lo de Carrera,1
