ENTIDAD,NOM_ENT,MUN,NOM_MUN,LOC,NOM_LOC,P18A24A
01,Aguascalientes,000,Total de la entidad Aguascalientes,0000,Total de la Entidad,59978
01,Aguascalientes,000,Total de la entidad Aguascalientes,9998,Localidades de una vivienda,93
01,Aguascalientes,000,Total de la entidad Aguascalientes,9999,Localidades de dos viviendas,77
01,Aguascalientes,001,Aguascalientes,0000,Total del Municipio,44885
01,Aguascalientes,001,Aguascalientes,0001,Aguascalientes,42001
01,Aguascalientes,001,Aguascalientes,0094,Granja Adelita,*
01,Aguascalientes,001,Aguascalientes,0096,Agua Azul,3
01,Aguascalientes,001,Aguascalientes,0102,Los Arbolitos [Rancho],*
01,Aguascalientes,001,Aguascalientes,0104,Ardillas de Abajo (Las Ardillas),*
01,Aguascalientes,001,Aguascalientes,0106,Arellano,30
01,Aguascalientes,001,Aguascalientes,0112,Bajío los Vázquez,1
01,Aguascalientes,001,Aguascalientes,0120,Buenavista de Peñuelas,18
01,Aguascalientes,001,Aguascalientes,0121,Cabecita 3 Marías (Rancho Nuevo),3
01,Aguascalientes,001,Aguascalientes,0125,Cañada Grande de Cotorina,13
01,Aguascalientes,001,Aguascalientes,0126,Cañada Honda [Estación],24
01,Aguascalientes,001,Aguascalientes,0127,Los Caños,30
01,Aguascalientes,001,Aguascalientes,0128,El Cariñán,10
01,Aguascalientes,001,Aguascalientes,0135,El Cedazo (Cedazo de San Antonio),4
01,Aguascalientes,001,Aguascalientes,0138,Centro de Arriba (El Taray),16
01,Aguascalientes,001,Aguascalientes,0139,Cieneguilla (La Lumbrera),15
01,Aguascalientes,001,Aguascalientes,0141,Cobos,1
01,Aguascalientes,001,Aguascalientes,0144,El Colorado (El Soyatal),15
01,Aguascalientes,001,Aguascalientes,0146,El Conejal,27
01,Aguascalientes,001,Aguascalientes,0157,Cotorina de Abajo,1
01,Aguascalientes,001,Aguascalientes,0162,Coyotes,14
01,Aguascalientes,001,Aguascalientes,0170,Cuauhtémoc (Las Palomas),14
01,Aguascalientes,001,Aguascalientes,0171,Los Cuervos (Los Ojos de Agua),11
01,Aguascalientes,001,Aguascalientes,0172,San José [Granja],*
01,Aguascalientes,001,Aguascalientes,0176,La Chiripa,*
01,Aguascalientes,001,Aguascalientes,0183,Los Dolores,0
01,Aguascalientes,001,Aguascalientes,0190,El Duraznillo,3
01,Aguascalientes,001,Aguascalientes,0191,Los Durón,2
01,Aguascalientes,001,Aguascalientes,0197,Paraíso [Rancho],*
01,Aguascalientes,001,Aguascalientes,0209,La Fortuna,0
01,Aguascalientes,001,Aguascalientes,0212,Lomas del Gachupín,3
01,Aguascalientes,001,Aguascalientes,0213,El Carmen (Gallinas Güeras) [Rancho],*
