ENTIDAD,NOM_ENT,MUN,NOM_MUN,LOC,NOM_LOC,P18A24A
03,Baja California Sur,000,Total de la entidad Baja California Sur,0000,Total de la Entidad,29318
03,Baja California Sur,000,Total de la entidad Baja California Sur,9998,Localidades de una vivienda,84
03,Baja California Sur,000,Total de la entidad Baja California Sur,9999,Localidades de dos viviendas,22
03,Baja California Sur,001,Comondú,0000,Total del Municipio,2484
03,Baja California Sur,001,Comondú,0001,Ciudad Constitución,1820
03,Baja California Sur,001,Comondú,0003,Puerto Adolfo López Mateos,35
03,Baja California Sur,001,Comondú,0020,Andachires,*
03,Baja California Sur,001,Comondú,0027,Puerto Magdalena,0
03,Baja California Sur,001,Comondú,0031,Batequitos,0
03,Baja California Sur,001,Comondú,0035,Benito Juárez,23
03,Baja California Sur,001,Comondú,0042,Buenos Aires,*
03,Baja California Sur,001,Comondú,0045,Cadejé,0
03,Baja California Sur,001,Comondú,0046,La Calabaza,*
03,Baja California Sur,001,Comondú,0047,Calejú,*
03,Baja California Sur,001,Comondú,0049,Las Barrancas,3
03,Baja California Sur,001,Comondú,0050,El Canelo,*
03,Baja California Sur,001,Comondú,0052,El Cantil,*
03,Baja California Sur,001,Comondú,0055,Carambuche,0
03,Baja California Sur,001,Comondú,0068,Coahuila Lote 11,*
03,Baja California Sur,001,Comondú,0105,La Escondida,*
03,Baja California Sur,001,Comondú,0112,Francisco Villa,0
03,Baja California Sur,001,Comondú,0133,Ciudad Insurgentes,313
03,Baja California Sur,001,Comondú,0137,Jesús María,1
03,Baja California Sur,001,Comondú,0153,La Lomboyosa,*
03,Baja California Sur,001,Comondú,0159,Magisterial Lote 611-2,*
03,Baja California Sur,001,Comondú,0162,María Auxiliadora,1
03,Baja California Sur,001,Comondú,0181,El Ojo de Agua,0
03,Baja California Sur,001,Comondú,0182,El Ojo de Agua,*
03,Baja California Sur,001,Comondú,0183,El Duguajal,*
03,Baja California Sur,001,Comondú,0193,Palo Bola,8
03,Baja California Sur,001,Comondú,0200,Paso Hondo,0
03,Baja California Sur,001,Comondú,0201,Llano los Patitos Lote 3,*
03,Baja California Sur,001,Comondú,0206,La Petaca,*
03,Baja California Sur,001,Comondú,0224,La Poza Grande,3
03,Baja California Sur,001,Comondú,0241,Puerto Alcatraz,2
03,Baja California Sur,001,Comondú,0242,Puerto Cortés,*
03,Baja California Sur,001,Comondú,0244,La Purísima,3
03,Baja California Sur,001,Comondú,0245,San Dionisio Quepo,*
03,Baja California Sur,001,Comondú,0253,Rancho Nuevo,*
03,Baja California Sur,001,Comondú,0254,Rancho Nuevo,*
03,Baja California Sur,001,Comondú,0266,Ramaditas,3
03,Baja California Sur,001,Comondú,0270,San Agustín,*
03,Baja California Sur,001,Comondú,0271,San Andrés,*
03,Baja California Sur,001,Comondú,0280,Puerto San Carlos,115
03,Baja California Sur,001,Comondú,0282,San Eulogio,*
03,Baja California Sur,001,Comondú,0291,San Isidro,1
03,Baja California Sur,001,Comondú,0293,San José de Comondú,0
03,Baja California Sur,001,Comondú,0294,San José de Guajademí,0
03,Baja California Sur,001,Comondú,0295,San José de la Noria,0
03,Baja California Sur,001,Comondú,0316,San Mateo Uno,*
03,Baja California Sur,001,Comondú,0319,San Miguel de Comondú,2
03,Baja California Sur,001,Comondú,0325,San Ramón,*
03,Baja California Sur,001,Comondú,0335,Santo Domingo,13
03,Baja California Sur,001,Comondú,0336,Santo Tomás,*
03,Baja California Sur,001,Comondú,0349,Siempre Viva,*
03,Baja California Sur,001,Comondú,0355,Teotlán,*
03,Baja California Sur,001,Comondú,0366,El Tulillo,*
03,Baja California Sur,001,Comondú,0379,Villa Hidalgo,3
03,Baja California Sur,001,Comondú,0380,Villa Morelos,21
03,Baja California Sur,001,Comondú,0382,La Vinatería,*
