ENTIDAD,NOM_ENT,MUN,NOM_MUN,LOC,NOM_LOC,P18A24A
02,Baja California,000,Total de la entidad Baja California,0000,Total de la Entidad,162584
02,Baja California,000,Total de la entidad Baja California,9998,Localidades de una vivienda,178
02,Baja California,000,Total de la entidad Baja California,9999,Localidades de dos viviendas,149
02,Baja California,001,Ensenada,0000,Total del Municipio,20708
02,Baja California,001,Ensenada,0001,Ensenada,17521
02,Baja California,001,Ensenada,0035,Ejido 18 de Marzo (El Álamo),0
02,Baja California,001,Ensenada,0037,Rancho Almaraz,*
02,Baja California,001,Ensenada,0051,La Bocana,*
02,Baja California,001,Ensenada,0056,Buena Vista,*
02,Baja California,001,Ensenada,0059,San José (La Calentura) [Viñedos Agrícolas],0
02,Baja California,001,Ensenada,0063,La Cava de Marcelo,*
02,Baja California,001,Ensenada,0081,Las Chichihuas,*
02,Baja California,001,Ensenada,0082,Chula Vista,*
02,Baja California,001,Ensenada,0083,El Dátil,0
02,Baja California,001,Ensenada,0095,Ejido Eréndira,32
02,Baja California,001,Ensenada,0111,La Higuera,*
02,Baja California,001,Ensenada,0114,Francisco Zarco (Valle de Guadalupe),104
02,Baja California,001,Ensenada,0118,Licenciado Gustavo Díaz Ordaz,33
02,Baja California,001,Ensenada,0121,La Huerta,2
02,Baja California,001,Ensenada,0123,Ejido Ignacio López Rayón (Los Olivos),2
02,Baja California,001,Ensenada,0124,Isla de Cedros,23
02,Baja California,001,Ensenada,0127,Jatay,0
02,Baja California,001,Ensenada,0132,El Junco,*
02,Baja California,001,Ensenada,0135,Ejido López Zamora,1
02,Baja California,001,Ensenada,0139,Rodolfo Sánchez Taboada (Maneadero),893
02,Baja California,001,Ensenada,0148,El Mezquitito,*
02,Baja California,001,Ensenada,0149,El Milagro,0
02,Baja California,001,Ensenada,0150,El Mirador,*
02,Baja California,001,Ensenada,0151,La Misión,50
02,Baja California,001,Ensenada,0155,Díaz [Rancho],0
02,Baja California,001,Ensenada,0171,Las Lomas,*
02,Baja California,001,Ensenada,0177,Piedras Gordas,*
02,Baja California,001,Ensenada,0178,Los Pinos,*
02,Baja California,001,Ensenada,0182,La Providencia (Agrícola Pelayo),*
02,Baja California,001,Ensenada,0184,Coronel Esteban Cantú,18
02,Baja California,001,Ensenada,0186,Ejido Punta Colnett (Punta Colonet),64
02,Baja California,001,Ensenada,0188,El Ranchito,*
02,Baja California,001,Ensenada,0190,Real del Castillo Nuevo (Ojos Negros),59
02,Baja California,001,Ensenada,0191,Real del Castillo Viejo,0
02,Baja California,001,Ensenada,0192,El Refugio,*
02,Baja California,001,Ensenada,0194,Rincón de Guadalupe,0
02,Baja California,001,Ensenada,0195,Ejido Rodolfo Sánchez Taboada (El Calvario),2
02,Baja California,001,Ensenada,0203,El Salado,*
02,Baja California,001,Ensenada,0212,Rancho Sandoval,*
02,Baja California,001,Ensenada,0215,Sangre de Cristo,*
02,Baja California,001,Ensenada,0219,San Juan,*
02,Baja California,001,Ensenada,0225,San Pablo,*
02,Baja California,001,Ensenada,0230,San Simón,0
02,Baja California,001,Ensenada,0235,Santa Isabel,*
02,Baja California,001,Ensenada,0242,Santo Tomás,12
02,Baja California,001,Ensenada,0243,San Vicente,113
02,Baja California,001,Ensenada,0246,El Sauquito,*
02,Baja California,001,Ensenada,0247,El Sauzal de Rodríguez,590
02,Baja California,001,Ensenada,0254,Cuatro Cuatros,0
02,Baja California,001,Ensenada,0260,El Triunfo,*
02,Baja California,001,Ensenada,0261,El Tule,0
02,Baja California,001,Ensenada,0265,Tony [Campo Turístico],*
02,Baja California,001,Ensenada,0271,Villa de Juárez (San Antonio de las Minas),34
02,Baja California,001,Ensenada,0272,Rancho Bellavista,*
02,Baja California,001,Ensenada,0278,Agua Caliente,0
02,Baja California,001,Ensenada,0280,Alfonsinas,*
02,Baja California,001,Ensenada,0282,Tres Olivos,*
02,Baja California,001,Ensenada,0289,Arroyo del Sauz (El Aserradero),0
02,Baja California,001,Ensenada,0290,Agua de León,*
02,Baja California,001,Ensenada,0293,Rancho Granados Collins,0
02,Baja California,001,Ensenada,0296,Agua Caliente,*
02,Baja California,001,Ensenada,0302,Agua Blanca,*
02,Baja California,001,Ensenada,0318,El Aguajito,*
02,Baja California,001,Ensenada,0327,Los Alisos,*
02,Baja California,001,Ensenada,0329,La Bufadora,0
02,Baja California,001,Ensenada,0332,Los Alazanes,*
02,Baja California,001,Ensenada,0333,El Brillante,*
02,Baja California,001,Ensenada,0336,Bibayoff [Rancho],*
02,Baja California,001,Ensenada,0347,Bakarta [Rancho],*
02,Baja California,001,Ensenada,0351,Buenos Aires,*
02,Baja California,001,Ensenada,0354,Buenaventura,*
02,Baja California,001,Ensenada,0355,Buenos Aires (Rancho Terríquez),*
02,Baja California,001,Ensenada,0357,Comunidad Belén,*
02,Baja California,001,Ensenada,0359,El Burro,*
02,Baja California,001,Ensenada,0371,Las Arboledas,0
02,Baja California,001,Ensenada,0373,Los Olivos [Fraccionamiento],*
02,Baja California,001,Ensenada,0374,Aguaje Escondido,*
02,Baja California,001,Ensenada,0377,Las Cuatas,*
02,Baja California,001,Ensenada,0385,Los Cipreses,1
02,Baja California,001,Ensenada,0386,Rancho Campa,*
02,Baja California,001,Ensenada,0408,El Coloradito [Campo],*
02,Baja California,001,Ensenada,0428,Costeño,*
02,Baja California,001,Ensenada,0432,Rancho Castellanos,0
02,Baja California,001,Ensenada,0462,Rancho Parma,0
02,Baja California,001,Ensenada,0463,Olivarera de Baja California,*
02,Baja California,001,Ensenada,0466,Rancho Estela,*
02,Baja California,001,Ensenada,0470,Las Casitas,*
02,Baja California,001,Ensenada,0478,Llano Colorado,0
02,Baja California,001,Ensenada,0480,Las Flores Nuevas,*
02,Baja California,001,Ensenada,0481,Las Flores (Flores Viejas),*
02,Baja California,001,Ensenada,0491,Ejido Francisco R. Serrano (Valle San Matías),2
02,Baja California,001,Ensenada,0505,Rancho Grande (Viñedos Alejandra),*
02,Baja California,001,Ensenada,0509,Ejido General Leandro Valle,*
02,Baja California,001,Ensenada,0510,Guadalupe de los Ocios,*
02,Baja California,001,Ensenada,0512,El Huerfanito [Campo],*
02,Baja California,001,Ensenada,0515,La Huertita,*
02,Baja California,001,Ensenada,0517,La Hacienda,*
02,Baja California,001,Ensenada,0520,Héroes de la Independencia (Llano Colorado),14
02,Baja California,001,Ensenada,0523,Ignacio Zaragoza,0
02,Baja California,001,Ensenada,0534,La Llave,*
02,Baja California,001,Ensenada,0535,La Laguna,*
02,Baja California,001,Ensenada,0542,Leyes de Reforma (El Rodeo),1
02,Baja California,001,Ensenada,0544,Rancho Percebú,0
02,Baja California,001,Ensenada,0547,Leyes de Reforma (El Rodeo),0
02,Baja California,001,Ensenada,0549,Hetch [Rancho],*
02,Baja California,001,Ensenada,0551,Las Lumbres,*
02,Baja California,001,Ensenada,0561,Morelia,*
02,Baja California,001,Ensenada,0564,El Manzo,0
02,Baja California,001,Ensenada,0565,La Mariposa,*
02,Baja California,001,Ensenada,0568,Rancho Manas,*
02,Baja California,001,Ensenada,0576,El Mezcal,*
02,Baja California,001,Ensenada,0580,Miramar,*
02,Baja California,001,Ensenada,0583,Rancho Mariscal,*
02,Baja California,001,Ensenada,0585,El Mogor,0
02,Baja California,001,Ensenada,0586,El Mazateco,*
02,Baja California,001,Ensenada,0600,De los Niños [Rancho),*
02,Baja California,001,Ensenada,0604,Ojo de Agua,0
02,Baja California,001,Ensenada,0611,Punta Final (Villa Mar y Sol),0
02,Baja California,001,Ensenada,0616,El Puerto,*
02,Baja California,001,Ensenada,0617,El Porvenir (Guadalupe),52
02,Baja California,001,Ensenada,0623,Las Manzanas,*
02,Baja California,001,Ensenada,0626,Los Malcriados,0
02,Baja California,001,Ensenada,0630,El Paraíso,*
02,Baja California,001,Ensenada,0645,Punta Cabras,0
02,Baja California,001,Ensenada,0646,La Bocana de Santa Cruz,*
02,Baja California,001,Ensenada,0648,La Pura,*
02,Baja California,001,Ensenada,0657,Rancho Viejo,*
02,Baja California,001,Ensenada,0664,Las Pilitas,*
02,Baja California,001,Ensenada,0677,El Ramajal,1
02,Baja California,001,Ensenada,0678,El Aguaje,2
02,Baja California,001,Ensenada,0683,El Rayo,*
02,Baja California,001,Ensenada,0684,Campo la Roca,0
02,Baja California,001,Ensenada,0691,El Ranchito,*
02,Baja California,001,Ensenada,0692,Rancho MB,*
02,Baja California,001,Ensenada,0701,Rodeo Cota,0
02,Baja California,001,Ensenada,0704,Rancho Segura,*
02,Baja California,001,Ensenada,0718,Santa Fe,*
02,Baja California,001,Ensenada,0724,El Pedregal [Rancho],*
02,Baja California,001,Ensenada,0727,El Sauzalito (La Nopalera),*
02,Baja California,001,Ensenada,0729,El Sauce,*
02,Baja California,001,Ensenada,0730,San Martín,*
02,Baja California,001,Ensenada,0731,Rancho Sordomudo,*
02,Baja California,001,Ensenada,0732,El Sauco,0
02,Baja California,001,Ensenada,0736,Puerto San Isidro,1
02,Baja California,001,Ensenada,0743,Rancho Dinuwa,*
02,Baja California,001,Ensenada,0750,Santo Domingo,*
02,Baja California,001,Ensenada,0753,La Sombra de San Francisquito,*
02,Baja California,001,Ensenada,0758,El Saladito,*
02,Baja California,001,Ensenada,0759,Comunidad Indígena de Santa Catarina,3
02,Baja California,001,Ensenada,0769,San Marcos,0
02,Baja California,001,Ensenada,0772,San Pedro [Parcela Veintidós],*
02,Baja California,001,Ensenada,0778,San Marcos,*
02,Baja California,001,Ensenada,0779,San Juan de Dios,*
02,Baja California,001,Ensenada,0798,El Sauce y la Palma,*
02,Baja California,001,Ensenada,0806,El Tecolote,*
02,Baja California,001,Ensenada,0814,Gloria [Rancho],*
02,Baja California,001,Ensenada,0816,El Tigre,*
02,Baja California,001,Ensenada,0818,Tres Estrellas,*
02,Baja California,001,Ensenada,0824,Las Vaquillas (La Ciénega),*
02,Baja California,001,Ensenada,0832,Rancho Yorba,*
02,Baja California,001,Ensenada,0838,Pocitos (Valle de la Trinidad),2
02,Baja California,001,Ensenada,0844,Valle Seco,*
02,Baja California,001,Ensenada,0848,Campo Zaguaro,0
02,Baja California,001,Ensenada,0852,Las Delicias,*
02,Baja California,001,Ensenada,0854,San Gabriel,*
02,Baja California,001,Ensenada,0858,Campo Rivera,0
02,Baja California,001,Ensenada,0861,El Salto,0
02,Baja California,001,Ensenada,0862,El Horno,*
02,Baja California,001,Ensenada,0874,Rancho Nuevo,*
02,Baja California,001,Ensenada,0878,El Olivo,0
02,Baja California,001,Ensenada,0892,Puertecitos,0
02,Baja California,001,Ensenada,0895,San José de la Noria,*
02,Baja California,001,Ensenada,0909,Rancho Zamora (Parcela Cuatrocientos Veintiséis),1
02,Baja California,001,Ensenada,0912,Las Tinajitas,*
02,Baja California,001,Ensenada,0919,Casa Blanca,*
02,Baja California,001,Ensenada,0931,Rancho Vargas,*
02,Baja California,001,Ensenada,0935,Lázaro Cárdenas (Valle de la Trinidad),42
02,Baja California,001,Ensenada,0942,Uruapan,20
02,Baja California,001,Ensenada,0947,El Carrizo,*
02,Baja California,001,Ensenada,0958,La Huerta (Ejido Nacionalista),1
02,Baja California,001,Ensenada,0981,El Refugio,*
02,Baja California,001,Ensenada,0984,Arroyo de Guadalupe (Agua Caliente),*
02,Baja California,001,Ensenada,0990,La Alfalfa,*
02,Baja California,001,Ensenada,0994,Punta Bufeo [Campo Turístico],*
02,Baja California,001,Ensenada,1012,Rancho González,*
02,Baja California,001,Ensenada,1015,Emiliano Zapata,1
02,Baja California,001,Ensenada,1022,La Gloria,1
02,Baja California,001,Ensenada,1023,El Recreo,*
02,Baja California,001,Ensenada,1025,Poblado Héroes de Chapultepec,47
02,Baja California,001,Ensenada,1026,Las Ilusiones,*
02,Baja California,001,Ensenada,1028,Rancho Jiménez,*
02,Baja California,001,Ensenada,1031,La Joya,*
02,Baja California,001,Ensenada,1039,Magoni [Rancho],*
02,Baja California,001,Ensenada,1041,Lomas de Mendoza,3
