ENTIDAD,NOM_ENT,MUN,NOM_MUN,LOC,NOM_LOC,P18A24A
04,Campeche,000,Total de la entidad Campeche,0000,Total de la Entidad,37620
04,Campeche,000,Total de la entidad Campeche,9998,Localidades de una vivienda,84
04,Campeche,000,Total de la entidad Campeche,9999,Localidades de dos viviendas,15
04,Campeche,001,Calkiní,0000,Total del Municipio,2780
04,Campeche,001,Calkiní,0001,Calkiní,909
04,Campeche,001,Calkiní,0002,Isla Arena,42
04,Campeche,001,Calkiní,0003,Bacabchén,90
04,Campeche,001,Calkiní,0004,Bécal,306
04,Campeche,001,Calkiní,0005,Concepción,14
04,Campeche,001,Calkiní,0006,San Agustín Chunhuás,11
04,Campeche,001,Calkiní,0007,Dzitbalché,678
04,Campeche,001,Calkiní,0008,Nunkiní,341
04,Campeche,001,Calkiní,0009,Pucnachén,35
04,Campeche,001,Calkiní,0010,San Antonio Sahcabchén,67
04,Campeche,001,Calkiní,0011,San Nicolás,4
04,Campeche,001,Calkiní,0012,Santa Cruz Ex-Hacienda,31
04,Campeche,001,Calkiní,0013,Santa Cruz Pueblo,77
04,Campeche,001,Calkiní,0014,Tankuché,30
04,Campeche,001,Calkiní,0015,Tepakán,120
04,Campeche,001,Calkiní,0016,Santa María,6
04,Campeche,001,Calkiní,0026,Frente Chuc Say,2
04,Campeche,001,Calkiní,0038,El Gran Poder,*
04,Campeche,001,Calkiní,0058,San Dieguito,*
04,Campeche,001,Calkiní,0073,San Mateo,*
04,Campeche,001,Calkiní,0112,El Remolino (Noventa y Medio),*
04,Campeche,001,Calkiní,0120,San Carlos,*
04,Campeche,001,Calkiní,0126,El Buen Pastor,*
04,Campeche,001,Calkiní,0134,San Juan,0
04,Campeche,001,Calkiní,0150,Anexo San Mateo,1
04,Campeche,001,Calkiní,0155,Colonia Coca-Cola,3
04,Campeche,001,Calkiní,0174,La Huerta [Paradero Turístico],*
04,Campeche,001,Calkiní,0196,Las Almendras,*
04,Campeche,001,Calkiní,0198,K'an Peepen,*
04,Campeche,001,Calkiní,0201,La Fátima (Cocbilín),2
04,Campeche,001,Calkiní,0204,San Miguel Dos,*
04,Campeche,001,Calkiní,0208,Ninguno,*
