ENTIDAD,NOM_ENT,MUN,NOM_MUN,LOC,NOM_LOC,P18A24A
08,Chihuahua,000,Total de la entidad Chihuahua,0000,Total de la Entidad,155512
08,Chihuahua,000,Total de la entidad Chihuahua,9998,Localidades de una vivienda,218
08,Chihuahua,000,Total de la entidad Chihuahua,9999,Localidades de dos viviendas,166
08,Chihuahua,001,Ahumada,0000,Total del Municipio,240
08,Chihuahua,001,Ahumada,0001,Miguel Ahumada,217
08,Chihuahua,001,Ahumada,0007,Álamos de Peña,1
08,Chihuahua,001,Ahumada,0010,Argelia,*
08,Chihuahua,001,Ahumada,0011,Atotonilco,*
08,Chihuahua,001,Ahumada,0013,Barreal [Colonia Menonita],0
08,Chihuahua,001,Ahumada,0014,Buenos Aires [Colonia Menonita],0
08,Chihuahua,001,Ahumada,0020,Carrizal,1
08,Chihuahua,001,Ahumada,0030,Las Nuevas Cuatas [Colonia Menonita],0
08,Chihuahua,001,Ahumada,0032,La Chiripa,*
08,Chihuahua,001,Ahumada,0050,Las Isabeles,1
08,Chihuahua,001,Ahumada,0054,Leonor,*
08,Chihuahua,001,Ahumada,0055,San Fernando,*
08,Chihuahua,001,Ahumada,0058,Las Margaritas,*
08,Chihuahua,001,Ahumada,0059,Medio Camino,*
08,Chihuahua,001,Ahumada,0064,Moctezuma,2
08,Chihuahua,001,Ahumada,0068,El Nopal,*
08,Chihuahua,001,Ahumada,0069,Nueva Holanda,0
08,Chihuahua,001,Ahumada,0070,Ojo Caliente [Colonia Seca],1
08,Chihuahua,001,Ahumada,0079,Las Playas,5
08,Chihuahua,001,Ahumada,0085,Rancho Grande,*
08,Chihuahua,001,Ahumada,0086,Rancho Nuevo,0
08,Chihuahua,001,Ahumada,0097,San Luis,0
08,Chihuahua,001,Ahumada,0110,Los Sauces,*
08,Chihuahua,001,Ahumada,0116,Las Tarabillas,*
08,Chihuahua,001,Ahumada,0119,El Toro (El Águila),*
08,Chihuahua,001,Ahumada,0121,Potrero del Llano,0
08,Chihuahua,001,Ahumada,0122,Las Tunas,*
08,Chihuahua,001,Ahumada,0124,Matianas [Colonia Menonita],0
08,Chihuahua,001,Ahumada,0131,Vista Hermosa,*
08,Chihuahua,001,Ahumada,0136,Los Álamos,*
08,Chihuahua,001,Ahumada,0145,Las Tinajitas,*
08,Chihuahua,001,Ahumada,0168,El Ágate,0
08,Chihuahua,001,Ahumada,0170,Los Aparejos,*
08,Chihuahua,001,Ahumada,0179,La Víbora (El Tule),*
08,Chihuahua,001,Ahumada,0198,Santa Cruz,*
08,Chihuahua,001,Ahumada,0202,San Rafael (El Colorado),*
08,Chihuahua,001,Ahumada,0208,San Francisco (El Lucero),0
08,Chihuahua,001,Ahumada,0218,Santa Angelina (El Milagro),*
08,Chihuahua,001,Ahumada,0223,El Rosario,*
08,Chihuahua,001,Ahumada,0226,El Perico Colorado (Ojos Colorados),*
08,Chihuahua,001,Ahumada,0241,Campo Alegre (El Pozo),*
08,Chihuahua,001,Ahumada,0253,El Presón (Isela),0
08,Chihuahua,001,Ahumada,0256,Tinaja del Fierro,*
08,Chihuahua,001,Ahumada,0276,Colonia Agrícola el Llano,0
08,Chihuahua,001,Ahumada,0302,Chachita,*
08,Chihuahua,001,Ahumada,0304,Santa Anita,*
08,Chihuahua,001,Ahumada,0316,El Ojito,*
08,Chihuahua,001,Ahumada,0318,Guadalupe Dos,*
08,Chihuahua,001,Ahumada,0325,Los Berrendos,*
08,Chihuahua,001,Ahumada,0326,San Martín [Colonia Menonita],0
08,Chihuahua,001,Ahumada,0350,La Máquina,*
08,Chihuahua,001,Ahumada,0351,Villa Ahumada y Anexas,0
08,Chihuahua,001,Ahumada,0353,Adolfo Ruiz Cortínez,0
08,Chihuahua,001,Ahumada,0354,Ejido Zaragoza,0
08,Chihuahua,001,Ahumada,0356,Josefa Ortíz de Domínguez (Ojo de Carrizal),0
08,Chihuahua,001,Ahumada,0358,El Gavilán,*
08,Chihuahua,001,Ahumada,0361,Las Lagartijas (Álamos de Peña),*
08,Chihuahua,001,Ahumada,0375,Parritas,0
08,Chihuahua,001,Ahumada,0379,Santa Rita,0
08,Chihuahua,001,Ahumada,0380,Barret Holdings,*
08,Chihuahua,001,Ahumada,0383,San Luis (Noche Buena),0
08,Chihuahua,001,Ahumada,0387,San Luis,*
08,Chihuahua,001,Ahumada,0388,El Águila,*
08,Chihuahua,001,Ahumada,0391,El Galleguito,*
08,Chihuahua,001,Ahumada,0401,El Caballo,*
08,Chihuahua,001,Ahumada,0408,La Chocolata,*
08,Chihuahua,001,Ahumada,0415,Rancho 40 [Colonia Menonita],0
08,Chihuahua,001,Ahumada,0428,La Estrella,*
08,Chihuahua,001,Ahumada,0431,La Carbonera,*
08,Chihuahua,001,Ahumada,0447,El Ojo Hediondo,*
08,Chihuahua,001,Ahumada,0448,La Peralta [Colonia Menonita],0
08,Chihuahua,001,Ahumada,0455,Providencia (Las Marraneras),*
08,Chihuahua,001,Ahumada,0457,Ranchería,*
08,Chihuahua,001,Ahumada,0458,Rancho Verde,*
08,Chihuahua,001,Ahumada,0471,San Luis,*
08,Chihuahua,001,Ahumada,0476,Santa Mónica (Santa Clara),*
08,Chihuahua,001,Ahumada,0482,La Novillada (El Uno),*
08,Chihuahua,001,Ahumada,0491,El Tule,*
08,Chihuahua,001,Ahumada,0492,El Ranchito,*
08,Chihuahua,001,Ahumada,0496,El Aguaje,*
08,Chihuahua,001,Ahumada,0501,Loma Ju,*
08,Chihuahua,001,Ahumada,0509,Rancho Doble A,*
08,Chihuahua,001,Ahumada,0512,San Lorencito,1
08,Chihuahua,001,Ahumada,0513,Estación Gallegos,0
08,Chihuahua,001,Ahumada,0517,Tres Rosarios,*
08,Chihuahua,001,Ahumada,0527,El Gavilán,*
08,Chihuahua,001,Ahumada,0529,Las Carboneras,*
08,Chihuahua,001,Ahumada,0533,El Castellano,*
08,Chihuahua,001,Ahumada,0537,La Moneda,*
08,Chihuahua,001,Ahumada,0538,Cielo Azul,*
08,Chihuahua,001,Ahumada,0542,Santa Marcela [Colonia Menonita],0
08,Chihuahua,001,Ahumada,0555,Los Barandales del Puente,*
08,Chihuahua,001,Ahumada,0563,San Rafael,*
08,Chihuahua,001,Ahumada,0568,Los Carnales [Sociedad de Producción Rural],*
08,Chihuahua,001,Ahumada,0574,Rancho Sueco,0
08,Chihuahua,001,Ahumada,0588,El Berrendo,*
08,Chihuahua,001,Ahumada,0592,La Esmeralda,*
08,Chihuahua,001,Ahumada,0749,Ejido Francisco Villa,*
08,Chihuahua,001,Ahumada,0763,El Norte (Ranchos Unidos),*
08,Chihuahua,001,Ahumada,0767,El Rey del Cobre,*
08,Chihuahua,001,Ahumada,0774,El Bronco (Viveros Escobar),*
08,Chihuahua,001,Ahumada,0796,Ejido Lucio Blanco,0
08,Chihuahua,001,Ahumada,0809,Rancho Buta,*
08,Chihuahua,001,Ahumada,0816,Los Corrales,*
08,Chihuahua,001,Ahumada,0818,Rancho BB,*
08,Chihuahua,001,Ahumada,0821,El Manzano,*
08,Chihuahua,001,Ahumada,0840,El Cordón,*
08,Chihuahua,001,Ahumada,0851,La Palma [Colonia Menonita],0
08,Chihuahua,001,Ahumada,0855,El Peñasco,0
08,Chihuahua,001,Ahumada,0856,El Papalote (El Uno),*
08,Chihuahua,001,Ahumada,0863,Rancho San Juan,*
08,Chihuahua,001,Ahumada,0867,San Juanito,*
08,Chihuahua,001,Ahumada,0868,San Rafael (El Despepitador),*
08,Chihuahua,001,Ahumada,0886,El Álamo,*
08,Chihuahua,001,Ahumada,0889,El Alto,*
08,Chihuahua,001,Ahumada,0892,Arizona,*
08,Chihuahua,001,Ahumada,0896,Campo Tres (El Gavilán),0
08,Chihuahua,001,Ahumada,0897,Rancho San Lorenzo,*
08,Chihuahua,001,Ahumada,0900,Los Cedros,*
08,Chihuahua,001,Ahumada,0905,El Mareño [Corrales],*
08,Chihuahua,001,Ahumada,0911,La Escuadra (San Carlos),0
08,Chihuahua,001,Ahumada,0920,El Ruezno Uno,*
08,Chihuahua,001,Ahumada,0925,Los Nogales,*
08,Chihuahua,001,Ahumada,0928,Nuevo Medio Camino,*
08,Chihuahua,001,Ahumada,0930,El Ojito Dos,*
08,Chihuahua,001,Ahumada,0932,Ojos Colorados,*
08,Chihuahua,001,Ahumada,0935,Palo Blanco,*
08,Chihuahua,001,Ahumada,0936,El Palomino,*
08,Chihuahua,001,Ahumada,0940,El Parra (Santa Amalia),*
08,Chihuahua,001,Ahumada,0946,Las Peñitas (Palos Blancos),*
08,Chihuahua,001,Ahumada,0962,Santa Mónica,*
08,Chihuahua,001,Ahumada,0965,Santo Niño,*
08,Chihuahua,001,Ahumada,0968,El Seis,*
08,Chihuahua,001,Ahumada,0977,Rancho de los Díaz,*
08,Chihuahua,001,Ahumada,0978,Ninguno,*
08,Chihuahua,001,Ahumada,0988,Los Bajío [Víctor Caro Galdeana],*
08,Chihuahua,001,Ahumada,0995,Tierras Prietas (Palos Blancos),*
08,Chihuahua,001,Ahumada,0998,Chivatito [Colonia Menonita],*
08,Chihuahua,001,Ahumada,1005,La Yegua,*
08,Chihuahua,001,Ahumada,1010,La Cañada,*
08,Chihuahua,001,Ahumada,1012,El Coyote,*
08,Chihuahua,001,Ahumada,1015,El Recuerdo,*
08,Chihuahua,001,Ahumada,1022,El Bajío,0
08,Chihuahua,001,Ahumada,1025,Granja la Lupita,*
08,Chihuahua,001,Ahumada,1031,Campo 11,*
08,Chihuahua,001,Ahumada,1032,Campo Wieleir,*
08,Chihuahua,001,Ahumada,1039,El Sufrido (Santa Cruz),*
08,Chihuahua,001,Ahumada,1044,San Isidro,0
08,Chihuahua,001,Ahumada,1045,Colonia Valle de la Esperanza,1
08,Chihuahua,001,Ahumada,1046,Rancho la O,*
08,Chihuahua,001,Ahumada,1048,Pequeño Israel,*
08,Chihuahua,001,Ahumada,1049,Granja Favela,*
08,Chihuahua,001,Ahumada,1053,Rancho el Sol,*
08,Chihuahua,001,Ahumada,1056,Rancho las Cúspides,*
08,Chihuahua,001,Ahumada,1057,Rancho San Bernardo,*
08,Chihuahua,001,Ahumada,1060,La Mentira,*
08,Chihuahua,001,Ahumada,1078,Nuevo San Antonio,*
08,Chihuahua,001,Ahumada,1085,Nayo,*
08,Chihuahua,001,Ahumada,1093,Granja la Pinta,*
08,Chihuahua,001,Ahumada,1097,Castillo,*
08,Chihuahua,001,Ahumada,1105,El Alto,*
08,Chihuahua,001,Ahumada,1108,El Rosario,*
08,Chihuahua,001,Ahumada,1109,Rancho Marte,*
08,Chihuahua,001,Ahumada,1113,Richard,*
08,Chihuahua,001,Ahumada,1114,Chuyín,*
08,Chihuahua,001,Ahumada,1121,Rancho la Esmeralda,*
08,Chihuahua,001,Ahumada,1122,Granja Sam,*
08,Chihuahua,001,Ahumada,1123,San Gerardo,*
08,Chihuahua,001,Ahumada,1128,San Francisco [Granja],*
08,Chihuahua,001,Ahumada,1129,Ninguno,*
08,Chihuahua,001,Ahumada,1134,Antonio López,*
08,Chihuahua,001,Ahumada,1135,Los Cachorros,*
08,Chihuahua,001,Ahumada,1137,El Oso,*
08,Chihuahua,001,Ahumada,1140,Kilómetro 239,*
08,Chihuahua,001,Ahumada,1144,El Palmar [Colonia Menonita],2
08,Chihuahua,001,Ahumada,1146,El Coyamito [Colonia Menonita],0
08,Chihuahua,001,Ahumada,1147,Aparejos [Colonia Menonita],0
08,Chihuahua,001,Ahumada,1148,Nueva Esperanza [Colonia Menonita],0
08,Chihuahua,001,Ahumada,1149,El Agate [Colonia Menonita],4
08,Chihuahua,001,Ahumada,1151,Nuevo Barreal [Colonia Menonita],0
08,Chihuahua,001,Ahumada,1152,La Angostura [Colonia Menonita],0
08,Chihuahua,001,Ahumada,9998,Localidades de una vivienda,3
08,Chihuahua,001,Ahumada,9999,Localidades de dos viviendas,1
08,Chihuahua,002,Aldama,0000,Total del Municipio,734
08,Chihuahua,002,Aldama,0001,Juan Aldama,659
08,Chihuahua,002,Aldama,0006,Los Barreales (Segovia),*
08,Chihuahua,002,Aldama,0008,Bella Vista,*
08,Chihuahua,002,Aldama,0011,La Calera,1
08,Chihuahua,002,Aldama,0016,Tres Hermanos,*
08,Chihuahua,002,Aldama,0022,El Cuervo,*
08,Chihuahua,002,Aldama,0024,La Chiripa,*
08,Chihuahua,002,Aldama,0025,Chorreras,2
08,Chihuahua,002,Aldama,0033,Enmedio (San Felipe),*
08,Chihuahua,002,Aldama,0040,Luis L. León (El Granero),0
08,Chihuahua,002,Aldama,0045,Los Leones,0
08,Chihuahua,002,Aldama,0047,Maclovio Herrera (Estación Falomir),0
08,Chihuahua,002,Aldama,0048,Las Maravillas,0
08,Chihuahua,002,Aldama,0049,Rancho Martínez,*
08,Chihuahua,002,Aldama,0050,La Mesa,20
08,Chihuahua,002,Aldama,0053,El Mimbre (El Mimbre de Abajo),2
08,Chihuahua,002,Aldama,0054,Los Morteros,*
08,Chihuahua,002,Aldama,0062,El Pastor,0
08,Chihuahua,002,Aldama,0064,Placer de Guadalupe,1
08,Chihuahua,002,Aldama,0066,El Porvenir,15
08,Chihuahua,002,Aldama,0067,Los Pozos,*
08,Chihuahua,002,Aldama,0069,El Pueblito,2
08,Chihuahua,002,Aldama,0072,El Ranchito,*
08,Chihuahua,002,Aldama,0077,San Diego de Alcalá,2
08,Chihuahua,002,Aldama,0082,San Sóstenes,*
08,Chihuahua,002,Aldama,0085,Santa Rita,*
08,Chihuahua,002,Aldama,0091,Tres Amigos Dos,*
08,Chihuahua,002,Aldama,0096,Miguel Saavedra,*
08,Chihuahua,002,Aldama,0098,Emiliano Zapata (San Ignacio),2
08,Chihuahua,002,Aldama,0101,La Choya,*
08,Chihuahua,002,Aldama,0109,Bellavista,*
08,Chihuahua,002,Aldama,0119,Las Varas,*
08,Chihuahua,002,Aldama,0121,Santa Cruz,*
08,Chihuahua,002,Aldama,0131,El Polvo,*
08,Chihuahua,002,Aldama,0135,El Rosario (El Refugio),*
08,Chihuahua,002,Aldama,0137,El Acebuche,*
08,Chihuahua,002,Aldama,0141,El Mastranzo (Fraccionamiento Lomas de Santa Ana),1
08,Chihuahua,002,Aldama,0144,El Mimbre (El Mimbre de Arriba),4
08,Chihuahua,002,Aldama,0149,San Pedro,*
08,Chihuahua,002,Aldama,0155,Rancho el Gatún (Francisco I. Madero),*
08,Chihuahua,002,Aldama,0163,Cerritos (Rancho Nuevo),*
08,Chihuahua,002,Aldama,0164,El Consuelo,*
08,Chihuahua,002,Aldama,0165,Canutillo,*
08,Chihuahua,002,Aldama,0173,La Esperanza,*
08,Chihuahua,002,Aldama,0174,Las Vegas,*
08,Chihuahua,002,Aldama,0175,El Potrero,*
08,Chihuahua,002,Aldama,0180,San Francisco,*
08,Chihuahua,002,Aldama,0188,La Estela,*
08,Chihuahua,002,Aldama,0191,Santa Ana,*
08,Chihuahua,002,Aldama,0194,Santa Lucía,*
08,Chihuahua,002,Aldama,0197,La Esperanza,*
08,Chihuahua,002,Aldama,0204,Lemus,*
08,Chihuahua,002,Aldama,0210,Rancho el Coyote (El Coyote de Alcalá),*
08,Chihuahua,002,Aldama,0214,Rancho Largo,0
08,Chihuahua,002,Aldama,0218,Los Gemelos,*
08,Chihuahua,002,Aldama,0226,Rancho Dolores (Hacienda Dolores),*
08,Chihuahua,002,Aldama,0230,El Jagüey,7
08,Chihuahua,002,Aldama,0231,El Bosque,*
08,Chihuahua,002,Aldama,0233,La Palma,*
08,Chihuahua,002,Aldama,0234,El Huérfano,*
08,Chihuahua,002,Aldama,0238,La Boquilla (Boquilla Colorada),*
08,Chihuahua,002,Aldama,0250,El Coyote,*
08,Chihuahua,002,Aldama,0251,El Edén Uno,*
08,Chihuahua,002,Aldama,0258,El Llano del Álamo (El Gargaleote),*
08,Chihuahua,002,Aldama,0262,El Huizache (Providencia),*
08,Chihuahua,002,Aldama,0264,La Morita,*
08,Chihuahua,002,Aldama,0268,Nuevo Porvenir,0
08,Chihuahua,002,Aldama,0288,El Vergel Uno (Los Arcos de Piedra),*
08,Chihuahua,002,Aldama,0299,Guadalupe,*
08,Chihuahua,002,Aldama,0306,El Álamo,*
08,Chihuahua,002,Aldama,0312,El Caracol,*
08,Chihuahua,002,Aldama,0315,El Divisadero Número Uno,*
08,Chihuahua,002,Aldama,0318,El Ranchito,*
08,Chihuahua,002,Aldama,0321,Santa Fe,*
08,Chihuahua,002,Aldama,0322,El Tolteca,*
08,Chihuahua,002,Aldama,0328,Los Delfines [Balneario],*
08,Chihuahua,002,Aldama,0330,El Navegante,*
