ENTIDAD,NOM_ENT,MUN,NOM_MUN,LOC,NOM_LOC,P18A24A
09,Ciudad de México,000,Total de la entidad Ciudad de México,0000,Total de la Entidad,446846
09,Ciudad de México,000,Total de la entidad Ciudad de México,9998,Localidades de una vivienda,7
09,Ciudad de México,000,Total de la entidad Ciudad de México,9999,Localidades de dos viviendas,11
09,Ciudad de México,002,Azcapotzalco,0000,Total del Municipio,21840
09,Ciudad de México,002,Azcapotzalco,0001,Azcapotzalco,21840
09,Ciudad de México,003,Coyoacán,0000,Total del Municipio,34728
09,Ciudad de México,003,Coyoacán,0001,Coyoacán,34728
09,Ciudad de México,004,Cuajimalpa de Morelos,0000,Total del Municipio,11086
09,Ciudad de México,004,Cuajimalpa de Morelos,0001,Cuajimalpa de Morelos,9877
09,Ciudad de México,004,Cuajimalpa de Morelos,0010,Cruz Blanca,29
09,Ciudad de México,004,Cuajimalpa de Morelos,0020,San Lorenzo Acopilco,1025
09,Ciudad de México,004,Cuajimalpa de Morelos,0050,La Venta,23
09,Ciudad de México,004,Cuajimalpa de Morelos,0054,Puerto las Cruces (Monte las Cruces),37
09,Ciudad de México,004,Cuajimalpa de Morelos,0055,Teopazulco,3
09,Ciudad de México,004,Cuajimalpa de Morelos,0056,Valle de las Monjas,1
09,Ciudad de México,004,Cuajimalpa de Morelos,0057,Prolongación Constitución,6
09,Ciudad de México,004,Cuajimalpa de Morelos,0058,Paraje Río Borracho,2
09,Ciudad de México,004,Cuajimalpa de Morelos,0059,El Zarco,0
09,Ciudad de México,004,Cuajimalpa de Morelos,0060,La Bolsa (El Encinal),*
09,Ciudad de México,004,Cuajimalpa de Morelos,0062,Los Campesinos [Rancho],3
09,Ciudad de México,004,Cuajimalpa de Morelos,0063,Santa Rosa,22
09,Ciudad de México,004,Cuajimalpa de Morelos,0064,Paraje Cerro de los Padres,*
09,Ciudad de México,004,Cuajimalpa de Morelos,0066,Santa Laura [Rancho],1
09,Ciudad de México,004,Cuajimalpa de Morelos,0067,La Papa [Escuela Niños Héroes],*
09,Ciudad de México,004,Cuajimalpa de Morelos,0070,Punta Galicia,21
09,Ciudad de México,004,Cuajimalpa de Morelos,0071,Cola de Pato,*
09,Ciudad de México,004,Cuajimalpa de Morelos,0073,Los Aguacates,28
09,Ciudad de México,004,Cuajimalpa de Morelos,0074,Punta Ahuatenco,6
09,Ciudad de México,004,Cuajimalpa de Morelos,0075,Los Laureles [Rancho],*
09,Ciudad de México,004,Cuajimalpa de Morelos,0077,Coatzehuaya,0
09,Ciudad de México,004,Cuajimalpa de Morelos,0078,La Loma,*
09,Ciudad de México,004,Cuajimalpa de Morelos,0079,Llanito Redondo,*
09,Ciudad de México,004,Cuajimalpa de Morelos,9998,Localidades de una vivienda,0
09,Ciudad de México,004,Cuajimalpa de Morelos,9999,Localidades de dos viviendas,2
09,Ciudad de México,005,Gustavo A. Madero,0000,Total del Municipio,59858
09,Ciudad de México,005,Gustavo A. Madero,0001,Gustavo A. Madero,59858
09,Ciudad de México,006,Iztacalco,0000,Total del Municipio,20178
09,Ciudad de México,006,Iztacalco,0001,Iztacalco,20178
09,Ciudad de México,007,Iztapalapa,0000,Total del Municipio,81960
09,Ciudad de México,007,Iztapalapa,0001,Iztapalapa,81960
09,Ciudad de México,008,La Magdalena Contreras,0000,Total del Municipio,11521
09,Ciudad de México,008,La Magdalena Contreras,0001,La Magdalena Contreras,11490
09,Ciudad de México,008,La Magdalena Contreras,0071,Ejido de San Nicolás Totolapan,0
09,Ciudad de México,008,La Magdalena Contreras,0075,Segundo Dinamo,0
09,Ciudad de México,008,La Magdalena Contreras,0079,Las Golondrinas,*
09,Ciudad de México,008,La Magdalena Contreras,0083,El Gavillero,12
09,Ciudad de México,008,La Magdalena Contreras,0085,El Ocotal (La Carbonera),0
09,Ciudad de México,008,La Magdalena Contreras,0088,Totolapan,11
09,Ciudad de México,008,La Magdalena Contreras,0089,Sehuaya,*
09,Ciudad de México,008,La Magdalena Contreras,0094,La Campana [Rancho],*
09,Ciudad de México,008,La Magdalena Contreras,0096,La Polea,*
09,Ciudad de México,008,La Magdalena Contreras,0098,Valle del Tezontle,*
09,Ciudad de México,008,La Magdalena Contreras,0099,Albergue Alpino Ajusco,*
09,Ciudad de México,008,La Magdalena Contreras,0100,Los Cedros,*
09,Ciudad de México,008,La Magdalena Contreras,0101,Ocotenco (La Loma Cazulco),0
09,Ciudad de México,008,La Magdalena Contreras,0102,Los Tejocotes,*
09,Ciudad de México,008,La Magdalena Contreras,0104,Rancho Viejo,1
09,Ciudad de México,008,La Magdalena Contreras,0106,Prolongación Ermitaño,1
09,Ciudad de México,008,La Magdalena Contreras,0107,Llanos de Acopilco,*
09,Ciudad de México,008,La Magdalena Contreras,0108,Rincón Eslava,2
09,Ciudad de México,008,La Magdalena Contreras,0109,La Cañada [Parque],*
09,Ciudad de México,008,La Magdalena Contreras,0111,Rancho Chichicaspa,1
09,Ciudad de México,008,La Magdalena Contreras,0112,Paraje Chichicaspa,2
09,Ciudad de México,008,La Magdalena Contreras,0113,Meyuca,*
09,Ciudad de México,008,La Magdalena Contreras,9998,Localidades de una vivienda,1
09,Ciudad de México,008,La Magdalena Contreras,9999,Localidades de dos viviendas,0
09,Ciudad de México,009,Milpa Alta,0000,Total del Municipio,6818
09,Ciudad de México,009,Milpa Alta,0001,Villa Milpa Alta,836
09,Ciudad de México,009,Milpa Alta,0011,San Antonio Tecómitl,1302
09,Ciudad de México,009,Milpa Alta,0015,San Bartolomé Xicomulco,252
09,Ciudad de México,009,Milpa Alta,0017,San Francisco Tecoxpa,671
09,Ciudad de México,009,Milpa Alta,0024,San Pablo Oztotepec,800
09,Ciudad de México,009,Milpa Alta,0029,San Pedro Atocpan,393
09,Ciudad de México,009,Milpa Alta,0033,San Salvador Cuauhtenco,790
09,Ciudad de México,009,Milpa Alta,0036,Santa Ana Tlacotenco,616
09,Ciudad de México,009,Milpa Alta,0037,Cruztitla,37
09,Ciudad de México,009,Milpa Alta,0045,Los Pinos (Totulan),0
09,Ciudad de México,009,Milpa Alta,0046,Xoctonco,12
09,Ciudad de México,009,Milpa Alta,0050,Cozcatlán,1
09,Ciudad de México,009,Milpa Alta,0052,La Herradura (Séptima Curva),7
09,Ciudad de México,009,Milpa Alta,0054,Zangahco,1
09,Ciudad de México,009,Milpa Alta,0056,Hueycotzingo,7
09,Ciudad de México,009,Milpa Alta,0066,Cuauhtec (El Mirador Santa Ana Tlacotenco),2
09,Ciudad de México,009,Milpa Alta,0067,La Mora,4
09,Ciudad de México,009,Milpa Alta,0068,Metenco,21
09,Ciudad de México,009,Milpa Alta,0072,Tamasquititla,1
09,Ciudad de México,009,Milpa Alta,0074,San Agustín Xolco,2
09,Ciudad de México,009,Milpa Alta,0077,San Marcos (Tezocotitla),6
09,Ciudad de México,009,Milpa Alta,0081,Cuyucalco,5
09,Ciudad de México,009,Milpa Alta,0082,Iztahuaca,2
09,Ciudad de México,009,Milpa Alta,0083,Tzotzomaco,0
09,Ciudad de México,009,Milpa Alta,0084,Tlatepexco,4
09,Ciudad de México,009,Milpa Alta,0088,San Paocotitla,14
09,Ciudad de México,009,Milpa Alta,0090,Tlacopac,1
09,Ciudad de México,009,Milpa Alta,0092,Tecolotzitzatzian (Tiapa),0
09,Ciudad de México,009,Milpa Alta,0095,Tepetlapa,4
09,Ciudad de México,009,Milpa Alta,0096,Tequianquiztunco,0
09,Ciudad de México,009,Milpa Alta,0098,Tetexipezco,1
09,Ciudad de México,009,Milpa Alta,0099,Tetlicuili (El Encinal),0
09,Ciudad de México,009,Milpa Alta,0100,Toltecas Parte Alta (Barrio Tenantitla),*
09,Ciudad de México,009,Milpa Alta,0101,Texcalatlautenco,1
09,Ciudad de México,009,Milpa Alta,0103,Tezompa,7
09,Ciudad de México,009,Milpa Alta,0104,Teziuhtepec,3
09,Ciudad de México,009,Milpa Alta,0105,Tetzumpa,1
09,Ciudad de México,009,Milpa Alta,0109,Tlaxala,2
09,Ciudad de México,009,Milpa Alta,0110,Ahuapapatlapa,*
09,Ciudad de México,009,Milpa Alta,0112,Tetepanco,3
09,Ciudad de México,009,Milpa Alta,0113,Copexalco,4
09,Ciudad de México,009,Milpa Alta,0115,San José,15
09,Ciudad de México,009,Milpa Alta,0116,Hueytepetl (Bugambilias),13
09,Ciudad de México,009,Milpa Alta,0117,Ocoximalipa,2
09,Ciudad de México,009,Milpa Alta,0120,Corralixpa,8
09,Ciudad de México,009,Milpa Alta,0124,El Rancho,*
09,Ciudad de México,009,Milpa Alta,0126,Coyocalli,1
09,Ciudad de México,009,Milpa Alta,0129,Tlapalan,0
09,Ciudad de México,009,Milpa Alta,0130,Retamatitla (Tepehualli),*
09,Ciudad de México,009,Milpa Alta,0131,Texalco,1
09,Ciudad de México,009,Milpa Alta,0134,Queapilco,5
09,Ciudad de México,009,Milpa Alta,0135,Texococlixpa (Rancho Santa Elena),*
09,Ciudad de México,009,Milpa Alta,0138,Barranca Seca (Pozo Ocho),7
09,Ciudad de México,009,Milpa Alta,0139,Teatlaco,10
09,Ciudad de México,009,Milpa Alta,0140,Tlaloxtoc (Ejidos de Tecoxpa),1
09,Ciudad de México,009,Milpa Alta,0141,Tezquizco,0
09,Ciudad de México,009,Milpa Alta,0142,Atuzanco,2
09,Ciudad de México,009,Milpa Alta,0147,El Potrero,0
09,Ciudad de México,009,Milpa Alta,0151,Miquixpa,3
09,Ciudad de México,009,Milpa Alta,0152,San Lorenzo Tlacoyucan,160
09,Ciudad de México,009,Milpa Alta,0154,Rinconada del Teoca,0
09,Ciudad de México,009,Milpa Alta,0155,Tepexomulco,7
09,Ciudad de México,009,Milpa Alta,0156,Temoclaluca,0
09,Ciudad de México,009,Milpa Alta,0158,Malacaxco,7
09,Ciudad de México,009,Milpa Alta,0159,Cuatlixco,0
09,Ciudad de México,009,Milpa Alta,0161,Coametzu,16
09,Ciudad de México,009,Milpa Alta,0163,Cuauhtunco,12
09,Ciudad de México,009,Milpa Alta,0166,La Era,0
09,Ciudad de México,009,Milpa Alta,0167,Tepetenco,13
09,Ciudad de México,009,Milpa Alta,0168,San Isidro Cuatepec,33
09,Ciudad de México,009,Milpa Alta,0169,Xaluis,8
09,Ciudad de México,009,Milpa Alta,0171,Tepetipac,11
09,Ciudad de México,009,Milpa Alta,0172,Tlatlalahuaya,0
09,Ciudad de México,009,Milpa Alta,0173,Texunco (Camino Real a Tlaltenami),2
09,Ciudad de México,009,Milpa Alta,0174,Mecalco (Camino al Mirador),10
09,Ciudad de México,009,Milpa Alta,0176,Zacatonco,7
09,Ciudad de México,009,Milpa Alta,0178,Xali,0
09,Ciudad de México,009,Milpa Alta,0185,Zacazontlipac,15
09,Ciudad de México,009,Milpa Alta,0187,Santa Catarina (Piedra Blanca),10
09,Ciudad de México,009,Milpa Alta,0188,Cuauhtetec,12
09,Ciudad de México,009,Milpa Alta,0189,Huitlalpa,5
09,Ciudad de México,009,Milpa Alta,0191,Texcolipan,0
09,Ciudad de México,009,Milpa Alta,0192,Tetzmititla,2
09,Ciudad de México,009,Milpa Alta,0195,Tlaxiomulco,2
09,Ciudad de México,009,Milpa Alta,0198,Tecoloxtitla,5
09,Ciudad de México,009,Milpa Alta,0199,Tapalaco (Amacapultitla),1
09,Ciudad de México,009,Milpa Alta,0200,Teacalco,1
09,Ciudad de México,009,Milpa Alta,0202,Cuauhzontlipan,5
09,Ciudad de México,009,Milpa Alta,0203,Huepaltepec,1
09,Ciudad de México,009,Milpa Alta,0204,Mecatlán (Rancho el Refugio),4
09,Ciudad de México,009,Milpa Alta,0205,Tecupilco (Kilómetro 17.5),3
09,Ciudad de México,009,Milpa Alta,0206,Xaxalpa,3
09,Ciudad de México,009,Milpa Alta,0207,Xaltepetitla,2
09,Ciudad de México,009,Milpa Alta,0208,Tetecolok,2
09,Ciudad de México,009,Milpa Alta,0210,Santa Rosa,9
09,Ciudad de México,009,Milpa Alta,0211,Olla de Piedra,3
09,Ciudad de México,009,Milpa Alta,0213,El Zapote (Techultepec),1
09,Ciudad de México,009,Milpa Alta,0214,Maxulco (Barrio Cruztitla),9
09,Ciudad de México,009,Milpa Alta,0215,Tecoxpa (El Pirul),0
09,Ciudad de México,009,Milpa Alta,0216,Santa Martha Cosalan,1
09,Ciudad de México,009,Milpa Alta,0217,Zacuaztitla,15
09,Ciudad de México,009,Milpa Alta,0218,Rancho Paraíso Escondido,*
09,Ciudad de México,009,Milpa Alta,0219,Omaxa,6
09,Ciudad de México,009,Milpa Alta,0222,Ahuatitla (Ixmatunco),1
09,Ciudad de México,009,Milpa Alta,0223,Texacazintla (Xacalixpa),3
09,Ciudad de México,009,Milpa Alta,0224,Chichilesca,8
09,Ciudad de México,009,Milpa Alta,0226,Calle Capulines,0
09,Ciudad de México,009,Milpa Alta,0227,Temalacatl,0
09,Ciudad de México,009,Milpa Alta,0228,Temoayan,3
09,Ciudad de México,009,Milpa Alta,0229,Prolongación Xolotl,0
09,Ciudad de México,009,Milpa Alta,0230,Anayeli,*
09,Ciudad de México,009,Milpa Alta,0233,Las Cruces Parte Alta (Tehuepanco),3
09,Ciudad de México,009,Milpa Alta,0234,Cuacualipa,1
09,Ciudad de México,009,Milpa Alta,0235,Tehuistitla,3
09,Ciudad de México,009,Milpa Alta,0236,Cuaxaltepec,0
09,Ciudad de México,009,Milpa Alta,0237,Tenopantitla,*
09,Ciudad de México,009,Milpa Alta,0239,Tecpallo,2
09,Ciudad de México,009,Milpa Alta,0241,Loma Bonita,4
09,Ciudad de México,009,Milpa Alta,0242,Cuacuahotlipa,11
09,Ciudad de México,009,Milpa Alta,0243,Nacatulatlaxco,0
09,Ciudad de México,009,Milpa Alta,0244,Tlacoxpa (Teshutla),2
09,Ciudad de México,009,Milpa Alta,0245,Citlalcuac (Rancho el Paraíso Perdido),0
09,Ciudad de México,009,Milpa Alta,0246,Atoctenco (Prolongación Niños Héroes),4
09,Ciudad de México,009,Milpa Alta,0248,Paraje Huicalco,5
09,Ciudad de México,009,Milpa Alta,0249,Los Aguilar,0
