ENTIDAD,NOM_ENT,MUN,NOM_MUN,LOC,NOM_LOC,P18A24A
06,Colima,000,Total de la entidad Colima,0000,Total de la Entidad,31032
06,Colima,000,Total de la entidad Colima,9998,Localidades de una vivienda,64
06,Colima,000,Total de la entidad Colima,9999,Localidades de dos viviendas,13
06,Colima,001,Armería,0000,Total del Municipio,685
06,Colima,001,Armería,0001,Ciudad de Armería,416
06,Colima,001,Armería,0003,El Banco de Jicotán,0
06,Colima,001,Armería,0005,El Caminero,*
06,Colima,001,Armería,0007,Cofradía de Juárez,89
06,Colima,001,Armería,0009,Cuyutlán,34
06,Colima,001,Armería,0017,María Dolores,*
06,Colima,001,Armería,0019,Rancho Berrondo,*
06,Colima,001,Armería,0032,El Paraíso [Balneario],2
06,Colima,001,Armería,0033,Periquillo,20
06,Colima,001,Armería,0034,El Puertecito,8
06,Colima,001,Armería,0035,Rincón de López,49
06,Colima,001,Armería,0037,San Felipe,*
06,Colima,001,Armería,0039,Santander,*
06,Colima,001,Armería,0042,Los Reyes (Zorrillos),16
06,Colima,001,Armería,0045,Augusto Gómez Villanueva (Coalatilla),24
06,Colima,001,Armería,0046,La Atravesada,0
06,Colima,001,Armería,0048,La Guadalupana,*
06,Colima,001,Armería,0049,La Tropicana,*
06,Colima,001,Armería,0069,Los Camichines,*
06,Colima,001,Armería,0070,Los Rosales,*
06,Colima,001,Armería,0071,El Polvorín,*
06,Colima,001,Armería,0075,Chulavista,*
06,Colima,001,Armería,0081,El Arriero,*
06,Colima,001,Armería,0100,La Cañita,0
06,Colima,001,Armería,0130,Las Borregas,*
06,Colima,001,Armería,0135,El Caballero,*
06,Colima,001,Armería,0137,Coatán (Los Lepe),*
06,Colima,001,Armería,0143,Rosa Morada,*
06,Colima,001,Armería,0151,Sagrado Corazón [Colonia],1
06,Colima,001,Armería,0189,Ninguno,*
06,Colima,001,Armería,0190,Rancho de Gómez,*
06,Colima,001,Armería,0191,Barba Azul,0
06,Colima,001,Armería,0192,Rancho Nelly,*
06,Colima,001,Armería,0197,La Curva,*
06,Colima,001,Armería,0198,Rancho Cándida,*
06,Colima,001,Armería,0199,Don Pedro,*
06,Colima,001,Armería,0201,El Algodonal,*
06,Colima,001,Armería,0205,El Tabachín,*
06,Colima,001,Armería,0212,Charco Verde,0
