ENTIDAD,NOM_ENT,MUN,NOM_MUN,LOC,NOM_LOC,P18A24A
10,Durango,000,Total de la entidad Durango,0000,Total de la Entidad,70077
10,Durango,000,Total de la entidad Durango,9998,Localidades de una vivienda,150
10,Durango,000,Total de la entidad Durango,9999,Localidades de dos viviendas,77
10,Durango,001,Canatlán,0000,Total del Municipio,1413
10,Durango,001,Canatlán,0001,Canatlán,552
10,Durango,001,Canatlán,0004,Colonia Anáhuac (Palo Blanco),14
10,Durango,001,Canatlán,0005,Arnulfo R. Gómez (Los Sauces),13
10,Durango,001,Canatlán,0010,Benjamín Aranda (San Rafael),6
10,Durango,001,Canatlán,0012,Bruno Martínez (San Bartolo),22
10,Durango,001,Canatlán,0022,La Cañada,4
10,Durango,001,Canatlán,0028,Cerro Gordo,7
10,Durango,001,Canatlán,0029,Cieneguitas,0
10,Durango,001,Canatlán,0041,Dolores Hidalgo (Gogogito),6
10,Durango,001,Canatlán,0042,Donato Guerra,14
10,Durango,001,Canatlán,0045,José Guadalupe Aguilera (La Granja),363
10,Durango,001,Canatlán,0048,El Faisán de las Tapias,*
10,Durango,001,Canatlán,0049,Francisco Zarco (Las Delicias),1
10,Durango,001,Canatlán,0052,Gomelia,2
10,Durango,001,Canatlán,0059,Hermenegildo Galeana,0
10,Durango,001,Canatlán,0060,Ignacio M. Altamirano (La Luz),5
10,Durango,001,Canatlán,0062,José Cruz Gálvez (Cañas),2
10,Durango,001,Canatlán,0063,José Guadalupe Aguilera (Santa Lucía),107
10,Durango,001,Canatlán,0066,Lirios de la Sierra,0
10,Durango,001,Canatlán,0067,Los Lirios,4
10,Durango,001,Canatlán,0071,Marquesotes de Guadalupe (Canelas),0
10,Durango,001,Canatlán,0072,General Martín López,32
10,Durango,001,Canatlán,0073,Maymorita,1
10,Durango,001,Canatlán,0074,Medina,8
10,Durango,001,Canatlán,0076,Rancho Mesa de Guadalupe,*
10,Durango,001,Canatlán,0078,Miguel Hidalgo (Viborillas),0
10,Durango,001,Canatlán,0083,Nicolás Bravo,44
10,Durango,001,Canatlán,0084,Nogales,10
10,Durango,001,Canatlán,0092,La Loma,*
10,Durango,001,Canatlán,0093,Marquezotes de Guadalupe (Los Ojitos),0
10,Durango,001,Canatlán,0098,Piedra Encimada,1
10,Durango,001,Canatlán,0100,La Plazuela (El Rayo),4
10,Durango,001,Canatlán,0102,El Pozole,6
10,Durango,001,Canatlán,0104,El Progreso (Los Pinos),11
10,Durango,001,Canatlán,0105,Puerto de Cañas (La Noria),*
10,Durango,001,Canatlán,0107,Rancho Colorado (Rancho el Cura),0
10,Durango,001,Canatlán,0108,Manuel Jiménez (Rancho Seco),0
10,Durango,001,Canatlán,0110,Ricardo Flores Magón,28
10,Durango,001,Canatlán,0112,San Diego de Alcalá,1
10,Durango,001,Canatlán,0114,San Jerónimo de Jacales,2
10,Durango,001,Canatlán,0115,San José de Gracia,52
10,Durango,001,Canatlán,0116,San Lorenzo,0
10,Durango,001,Canatlán,0119,Santa Rosa de Escamillas,1
10,Durango,001,Canatlán,0120,Santa Susana,0
10,Durango,001,Canatlán,0121,Santa Teresa de los Pinos,0
10,Durango,001,Canatlán,0123,La Sauceda,29
10,Durango,001,Canatlán,0127,La Soledad,21
10,Durango,001,Canatlán,0130,El Tule,0
10,Durango,001,Canatlán,0133,Veintidós de Mayo,14
10,Durango,001,Canatlán,0134,Venustiano Carranza (Ocotán),13
10,Durango,001,Canatlán,0148,El Soldado,*
10,Durango,001,Canatlán,0153,Altamira,*
10,Durango,001,Canatlán,0158,Los Monos,*
10,Durango,001,Canatlán,0161,Terranova,*
10,Durango,001,Canatlán,0163,Predio Potrero Nuevo,1
10,Durango,001,Canatlán,0168,Diez Hermanos (Las Tapias),*
10,Durango,001,Canatlán,0169,Canoas,*
10,Durango,001,Canatlán,0172,Rancho del Cura,0
10,Durango,001,Canatlán,0173,Caboraca,*
10,Durango,001,Canatlán,0176,Predio las Tlazoleras,2
10,Durango,001,Canatlán,0197,Rancho San Agustín,0
10,Durango,001,Canatlán,0205,Las Cocinas,1
10,Durango,001,Canatlán,0206,Predio Colima,0
10,Durango,001,Canatlán,0209,Predio Potrero de Barrera,*
10,Durango,001,Canatlán,0228,Predio Potrero del Trigo,*
10,Durango,001,Canatlán,0230,Rafael Parra,*
10,Durango,001,Canatlán,0237,Predio Santa Cruz de las Huertas,3
10,Durango,001,Canatlán,0239,El Saucillal,*
10,Durango,001,Canatlán,0242,El Vergel de Sauces,0
10,Durango,001,Canatlán,0252,Michirame,*
10,Durango,001,Canatlán,0259,El Álamo,*
10,Durango,001,Canatlán,0267,El Porvenir (Casas Coloradas),*
10,Durango,001,Canatlán,0275,Predio Potrero del Huizachal,0
10,Durango,001,Canatlán,0278,El Ranchito,*
10,Durango,001,Canatlán,0282,Magueycitos,*
10,Durango,001,Canatlán,0284,El Chaparro (Los Méndez),*
10,Durango,001,Canatlán,0287,Las Latas,*
10,Durango,001,Canatlán,0289,La Abeja,*
10,Durango,001,Canatlán,0294,Rancho el Lienzo Blanco,*
10,Durango,001,Canatlán,0295,La Boquilla,*
10,Durango,001,Canatlán,0303,La Casa de la Huerta,*
10,Durango,001,Canatlán,0310,El Consuelo,*
10,Durango,001,Canatlán,0317,Don Chema,*
10,Durango,001,Canatlán,0320,Huerta Duran,*
10,Durango,001,Canatlán,0327,Las Palmas,*
10,Durango,001,Canatlán,0328,La Guarnición (La Pequeña),*
10,Durango,001,Canatlán,0330,Huerta Ruiz,*
10,Durango,001,Canatlán,0334,Los Juárez,*
10,Durango,001,Canatlán,0336,Rancho San Felipe,*
10,Durango,001,Canatlán,0342,Manuel Ortega,*
10,Durango,001,Canatlán,0343,Huerta Varela,*
10,Durango,001,Canatlán,0344,Juan Morales,*
