Tabla:,,GASTOSPERSONA,,,,,
,,,,,,,
Insumos:,,,,,,,
"ENIGHC14NC.TR_ENIGHV2024_REMESPECIE
ENIGHC14NC.TR_ENIGHV2024_GASTOEDUCA
ENIGHC14NC.TR_ENIGHV2024_TRANSPORTEPUBLICO",,,,,,,
,,,,,,,
Construcción general:,,,,,,,
"La conformación de esta tabla se realiza uniendo los registros de cada una de las tablas que contienen información de gasto a nivel persona. Previamente a cada tabla se le asigna un tipo de gasto se construyen o renombran las variables que forman la llave y en su caso se agrega la información a nivel hogar.
El tratamiento para cada tabla es el siguiente:

ENIGHC14NC.TR_ENIGHV2024_REMESPECIE, se agrega la información a nivel FOLIOVIV FOLIOHOG NUMREN CLAVE tipo_gasto MES_DIA FREC INST, se crea la variable tipo_gasto con valor igual a G4, se construye la variable mes_dia (ver nota).
",,,,,,,
"ENIGHC14NC.TR_ENIGHV2024_GASTOEDUCA, se crea la variable tipo_gasto con valor igual a G1 y se crea la variable que complementa la llave:
mes_dia='0000'.

ENIGHC14NC.TR_ENIGHV2024_TRANSPORTEPUBLICO, se crea la variable tipo_gasto con valor igual a G1, se construye la variable mes_dia (ver nota).
",,,,,,,
Se unen todas las tablas anteriores y se crea la variable de gasto_nm según el tipo de gasto (ver nota) y se trimestralizan el gasto y el gasto no monetario según su clave y tipo de gasto (ver nota). Se renombran las variables (para explotación) de acuerdo a la lista de variables.,,,,,,,
,,,,,,,
Lista de variables:,,,,,,,
#,Variable,,Tipo,Categorías / valores nulos,,Construcción / Observaciones,
,Explotación,Validación,,Valor,Etiqueta,,
1,folioviv,FOLIOVIV,C (10),NOT NULL,,"Identificador de la vivienda compuesto por dos dígitos con la clave de la entidad federativa, uno con el ámbito (urbano, código diferente a 6; rural, código 6), cuatro dígitos del número consecutivo de la upm, un dígito de la decena de levantamiento y dos dígitos con un número consecutivo para la vivienda seleccionada.",
2,foliohog,FOLIOHOG,C (1),NOT NULL,,"Identificador del hogar, el código 1 identifica al hogar principal y del 2 al 5 los hogares adicionales",
3,numren,NUMREN,C (2),NOT NULL,,Número consecutivo en el registro de personas del hogar,
4,clave,CLAVE,C (6),NOT NULL,,Categorías en catálogo de gastos,
5,tipo_gasto,,C (2),NOT NULL,,Variable construida (ver nota),
,,,,G1,Gasto monetario en bienes y servicios para el hogar,,
,,,,G4,Gasto no monetario y/o monetario por remuneraciones en especie,,
6,mes_dia,DIA,C (4),NOT NULL,,"Se construye a partir de la variable DIA (ver nota), categorías en catálogo de fechas",
7,frec_rem,FREC,C (1),NULL,,,
,,,,1,Una vez a la semana,,
,,,,2,Dos veces a la semana,,
,,,,3,Tres veces a la semana,,
,,,,4,Cuatro veces a la semana,,
,,,,5,Cinco veces a la semana,,
,,,,6,Seis veces a la semana,,
,,,,7,Una vez a la quincena,,
,,,,8,Una vez al mes,,
,,,,9,Otros,,
8,inst,INST,C (2),NULL,,Institución que proporciona los productos y servicios para el cuidado de la salud.,
,,,,01,"Médicos, laboratorios y hospitales particulares",,
,,,,02,Servicios médicos del IMSS,,
,,,,03,Servicios médicos del ISSSTE,,
,,,,04,Servicios médicos de PEMEX,,
,,,,05,Servicios médicos de la Marina,,
,,,,06,Servicios médicos del Ejército,,
,,,,07,Servicios médicos de la SSA,,
,,,,09,Servicios médicos del DIF,,
,,,,10,Servicios médicos de universidades públicas,,
,,,,11,"Otros servicios médicos:Cruz Roja, Cruz Verde, etc.",,
,,,,12,Servicios médicos provenientes del programa Prospera/Bienestar,,
,,,,13,Provenientes de otro hogar,,
9,forma_pag1,FPAGO1,C (2),NOT NULL,,"Variable recodificada (ver nota)
RECODE FPAGO1 ('1'='01') ('2'='02') ('3'='03') ('4'='04')('5'='05')('6'='06')('7'='07')('8'='08')('9'='09') (' '='00') INTO forma_pag1.",
,,,,00,No aplica,,
,,,,01,Efectivo,,
,,,,02,Fiado (persona particular o establecimiento comercial),,
,,,,03,Domiciliación,,
,,,,04,Transferencia electrónica de fondos,,
,,,,05,Tarjeta de crédito,,
,,,,06,Tarjeta de débito,,
,,,,07,Cheque,,
,,,,08,Vale,,
,,,,09,Pago móvil,,
,,,,10,Otro,,
10,forma_pag2,FPAGO2,C (2),NOT NULL,,"Variable recodificada (ver nota)
RECODE FPAGO2 ('1'='01') ('2'='02') ('3'='03') ('4'='04')('5'='05')('6'='06')('7'='07')('8'='08')('9'='09') (' '='00') INTO forma_pag2.",
,,,,00,No aplica,,
,,,,01,Efectivo,,
,,,,02,Fiado (persona particular o establecimiento comercial),,
,,,,03,Domiciliación,,
,,,,04,Transferencia electrónica de fondos,,
,,,,05,Tarjeta de crédito,,
,,,,06,Tarjeta de débito,,
,,,,07,Cheque,,
,,,,08,Vale,,
,,,,09,Pago móvil,,
,,,,10,Otro,,
11,forma_pag3,FPAGO3,C (2),NOT NULL,,"Variable recodificada (ver nota)
RECODE FPAGO3 ('1'='01') ('2'='02') ('3'='03') ('4'='04')('5'='05')('6'='06')('7'='07')('8'='08')('9'='09') (' '='00') INTO forma_pag3.",
,,,,00,No aplica,,
,,,,01,Efectivo,,
,,,,02,Fiado (persona particular o establecimiento comercial),,
,,,,03,Domiciliación,,
,,,,04,Transferencia electrónica de fondos,,
,,,,05,Tarjeta de crédito,,
,,,,06,Tarjeta de débito,,
,,,,07,Cheque,,
,,,,08,Vale,,
,,,,09,Pago móvil,,
,,,,10,Otro,,
12,inscrip,INSCRIP,N (9),NULL,,,
13,colegia,COLEGIA,N (9),NULL,,,
14,cantidad,CANTIDAD,"N (10,3)",NULL,,,
15,gasto,GASTO,"N (10,2)",NULL,,,
16,costo,COSTO,"N (10,2)",NULL,,,
17,gasto_tri,,"N (12,2)",NULL,,Variable construida (ver nota),
18,gasto_nm,,"N (10,2)",NULL,,Variable construida (ver nota),
19,gas_nm_tri,,"N (12,2)",NULL,,Variable construida (ver nota),
20,entidad,,C (2),NOT NULL,,Variable construida con las claves de la entidad ENIGHC14NC.TC_MUESTRAS;,
21,est_dis,EDIS_EG,C (3),NOT NULL,,Variable definida en el diseño muestral,
22,upm,UPM_DIS,C (7),NOT NULL,,Variable definida en el diseño muestral,
23,factor,FACTOR,N (5),NOT NULL,,Factor de expansión proporcionado por el área de muestras,
,,,,,,,
,,,,,,,
Codificación del tipo de gasto (tipo_gasto),,,,,,,
,TABLA,,,tipo_gasto,,,
,ENIGHC14NC.TR_ENIGHV2024_REMESPECIE,,,G4,Gasto no monetario y/o monetario por remuneraciones en especie,,
,ENIGHC14NC.TR_ENIGHV2024_GASTOEDUCA,,,G1,Gasto monetario en bienes y servicios para el hogar,,
,ENIGHC14NC.TR_ENIGHV2024_TRANSPORTEPUBLIC,,,,,,
,,,,,,,
,,,,,,,
Construcción de la variable  MES_DIA,,,,,,,
Si la DECENA (valor 8 de la cadena folioviv) es igual a:,,y la variable DIA es igual a:,"entonces,  MES_DIA es igual a:",Si la DECENA (valor 8 de la cadena folioviv) es igual a:,,y la variable DIA es igual a:,"entonces,  MES_DIA es igual a:"
1,,1,0820,6,,1,1009
1,,2,0821,6,,2,1010
1,,3,0822,6,,3,1011
1,,4,0823,6,,4,1012
1,,5,0824,6,,5,1013
